State,Geopolitical_Zone,Year,Yield_MT_Ha,Source_Report,Source_Table,Season_Group,Seasonal_Rainfall_mm,Seasonal_GDD_C,Max_CDD_days,Mean_Tmax_C,Mean_Tmin_C,Mean_RH_pct,Mean_Solar_Radiation_MJ_m2_day,Rainfall_Anomaly_Z_2000_2019,Weather_Valid_Days,Weather_Total_Days,Rainfall_Flag
Abia,South East,2020,1.46,NAERLS Agricultural Performance Survey 2021,Table 11.2,South,2008.66,4451.275,14,29.3248,23.04810909090909,88.14436363636365,16.229454545454548,0.4240398662678058,275,275,ok
Abia,South East,2021,1.24,NAERLS Agricultural Performance Survey 2021,Table 11.2,South,1825.67,4447.725,10,29.187018181818186,23.160072727272727,88.67767272727274,15.99338181818182,0.0469978660280299,275,275,ok
Abia,South East,2022,1.35,NAERLS Agricultural Performance Survey 2023,Table 12.2,South,1477.87,4437.709999999999,12,29.30912727272728,22.96512727272728,87.75738181818181,15.806545454545452,-0.6696271281432037,275,275,ok
Abia,South East,2023,1.38,NAERLS Agricultural Performance Survey 2023,Table 12.2,South,1447.29,4529.725,6,29.38352727272727,23.559927272727275,88.9818909090909,15.72330909090909,-0.7326357317135213,275,275,ok
Abia,South East,2024,1.42,Agricultural Productivity Survey 2024,Table 12.2,South,1356.55,4627.7,23,30.031090909090903,23.62490909090909,87.19501818181817,15.994727272727271,-0.9196010910323762,275,275,ok
Adamawa,North East,2020,2.17,NAERLS Agricultural Performance Survey 2021,Table 11.2,North,840.9300000000001,3048.325,7,30.770217391304342,22.363750000000003,77.9875,19.307717391304347,-0.0167498342235269,184,184,ok
Adamawa,North East,2021,2.18,NAERLS Agricultural Performance Survey 2021,Table 11.2,North,885.8799999999999,3097.5200000000004,5,30.935597826086955,22.733097826086954,77.65951086956522,19.328750000000003,0.3537743037427714,184,184,ok
Adamawa,North East,2022,2.27,NAERLS Agricultural Performance Survey 2023,Table 12.2,North,1069.08,2899.4700000000003,11,29.452228260869564,22.06375,82.83494565217391,18.905054347826084,1.8638971530292263,184,184,ok
Adamawa,North East,2023,2.31,NAERLS Agricultural Performance Survey 2023,Table 12.2,North,482.38,3532.025,15,34.15956521739131,24.23201086956522,64.68429347826087,19.35760869565217,-2.9722877578679507,184,184,ok
Adamawa,North East,2024,2.38,Agricultural Productivity Survey 2024,Table 12.2,North,904.24,3318.585,12,32.40342391304348,23.668152173913047,72.47163043478261,18.33570652173913,0.5051163098175504,184,184,ok
Akwa Ibom,South South,2020,1.09,NAERLS Agricultural Performance Survey 2021,Table 11.2,South,2953.3,4527.895,6,29.11032727272727,23.81981818181818,88.35538181818181,16.229454545454548,0.2445586676880186,275,275,very_high
Akwa Ibom,South South,2021,1.1,NAERLS Agricultural Performance Survey 2021,Table 11.2,South,2363.69,4522.715,10,29.026000000000003,23.86647272727273,88.68883636363637,15.99338181818182,-0.915962992805849,275,275,ok
Akwa Ibom,South South,2022,1.21,NAERLS Agricultural Performance Survey 2023,Table 12.2,South,3267.34,4497.98,9,28.999054545454545,23.71352727272727,88.49356363636363,15.806545454545452,0.8626794971540964,275,275,very_high
