State,Season_Group,Baseline_Start,Baseline_End,Baseline_Years_Available,Baseline_Mean_mm,Baseline_SD_mm,Baseline_Min_mm,Baseline_Max_mm,Raw_File
Abia,South,2000,2019,20,1802.8605,485.3305464209012,1087.68,3489.15,abia_2000-01-01_2024-12-31.csv
Adamawa,North,2000,2019,20,842.9620000000001,121.31463349923054,655.3,1073.85,adamawa_2000-01-01_2024-12-31.csv
Akwa Ibom,South,2000,2019,20,2829.0505000000003,508.0560062524707,2075.33,3774.12,akwa_ibom_2000-01-01_2024-12-31.csv
Anambra,South,2000,2019,20,1699.4355,527.2700249844526,1040.76,3202.88,anambra_2000-01-01_2024-12-31.csv
Bauchi,North,2000,2019,20,687.7429999999998,196.3048517002385,361.24,1063.86,bauchi_2000-01-01_2024-12-31.csv
Bayelsa,South,2000,2019,20,2240.295,644.5829775378643,1255.03,3494.75,bayelsa_2000-01-01_2024-12-31.csv
Benue,Middle,2000,2019,20,1198.5355000000002,325.0336446305861,776.6899999999999,2183.04,benue_2000-01-01_2024-12-31.csv
Borno,North,2000,2019,20,529.642,127.2518729300694,328.76,783.48,borno_2000-01-01_2024-12-31.csv
Cross River,South,2000,2019,20,2829.0505000000003,508.0560062524707,2075.33,3774.12,cross_river_2000-01-01_2024-12-31.csv
Delta,South,2000,2019,20,1435.8845,276.0674546760552,893.28,1974.7,delta_2000-01-01_2024-12-31.csv
Ebonyi,South,2000,2019,20,1583.8615,440.09059260296806,1087.27,2937.85,ebonyi_2000-01-01_2024-12-31.csv
Edo,South,2000,2019,20,1702.6735,556.4178299507531,937.9,2956.43,edo_2000-01-01_2024-12-31.csv
Ekiti,South,2000,2019,20,1493.67,287.21399909072016,950.99,2174.43,ekiti_2000-01-01_2024-12-31.csv
Enugu,South,2000,2019,20,1537.0465,378.85180794321434,1034.52,2709.09,enugu_2000-01-01_2024-12-31.csv
FCT,Middle,2000,2019,20,1180.9375,310.76997890426594,731.42,1928.32,fct_2000-01-01_2024-12-31.csv
Gombe,North,2000,2019,20,860.5654999999999,197.55966186059766,561.17,1217.67,gombe_2000-01-01_2024-12-31.csv
Imo,South,2000,2019,20,1823.1615000000002,572.4186748054719,1061.27,3489.94,imo_2000-01-01_2024-12-31.csv
Jigawa,North,2000,2019,20,557.642,175.02954928270046,303.41,1011.86,jigawa_2000-01-01_2024-12-31.csv
Kaduna,North,2000,2019,20,1240.1695000000002,336.83683622279045,668.45,1898.53,kaduna_2000-01-01_2024-12-31.csv
Kano,North,2000,2019,20,585.289,171.2310611548341,334.62,1012.07,kano_2000-01-01_2024-12-31.csv
Katsina,North,2000,2019,20,636.7985000000001,114.58757098371258,472.25,888.98,katsina_2000-01-01_2024-12-31.csv
Kebbi,North,2000,2019,20,750.8765000000001,104.32157375281086,590.56,970.41,kebbi_2000-01-01_2024-12-31.csv
Kogi,Middle,2000,2019,20,1044.4569999999999,233.66673337311659,680.13,1645.93,kogi_2000-01-01_2024-12-31.csv
Kwara,Middle,2000,2019,20,1125.7054999999998,215.0276226925031,703.7,1532.34,kwara_2000-01-01_2024-12-31.csv
Lagos,South,2000,2019,20,1435.8845,276.0674546760552,893.28,1974.7,lagos_2000-01-01_2024-12-31.csv
Nasarawa,Middle,2000,2019,20,1006.3855000000003,308.9480492774933,535.1,1863.0,nasarawa_2000-01-01_2024-12-31.csv
Niger,Middle,2000,2019,20,1144.094,258.60226795928185,732.68,1699.55,niger_2000-01-01_2024-12-31.csv
Ogun,South,2000,2019,20,1466.7095000000002,263.96718291793695,992.8,1998.33,ogun_2000-01-01_2024-12-31.csv
Ondo,South,2000,2019,20,1493.67,287.21399909072016,950.99,2174.43,ondo_2000-01-01_2024-12-31.csv
Osun,South,2000,2019,20,1435.914,262.0948940324758,946.12,2067.56,osun_2000-01-01_2024-12-31.csv
Oyo,South,2000,2019,20,1587.858,269.52205834148634,1083.52,2104.41,oyo_2000-01-01_2024-12-31.csv
Plateau,Middle,2000,2019,20,927.551,293.4503699614746,470.78000000000003,1482.89,plateau_2000-01-01_2024-12-31.csv
Rivers,South,2000,2019,20,2204.5660000000003,592.3104074047661,1259.51,3322.33,rivers_2000-01-01_2024-12-31.csv
Sokoto,North,2000,2019,20,662.6750000000001,141.72614079347017,484.55,1085.68,sokoto_2000-01-01_2024-12-31.csv
Taraba,North,2000,2019,20,880.7940000000001,175.90764868921542,520.51,1291.33,taraba_2000-01-01_2024-12-31.csv
Yobe,North,2000,2019,20,658.257,131.66159049464255,425.45,984.51,yobe_2000-01-01_2024-12-31.csv
Zamfara,North,2000,2019,20,710.9975,157.81531941097944,370.11,979.98,zamfara_2000-01-01_2024-12-31.csv
