Model,Scenario,Scenario_Type,Extreme_Type,State,Year,Temperature_Shift_C,Rainfall_Shift_pct,Predicted_Yield_Baseline,Predicted_Yield_Stress,Yield_Change_MT_Ha,Yield_Change_pct
LightGBM,T+0_R-10,Drought,Most_Negative,Imo,2024,0.0,-10.0,1.9852379020439388,1.795292292442748,-0.1899456096011909,-9.56790163061207
LightGBM,T+0_R-10,Drought,Most_Negative,Bayelsa,2024,0.0,-10.0,1.9780597189458773,1.840943931199451,-0.1371157877464264,-6.931832564665763
LightGBM,T+0_R-10,Drought,Most_Negative,Kano,2024,0.0,-10.0,2.1392041565082125,2.034984744186009,-0.1042194123222035,-4.8718777964754505
LightGBM,T+0_R-10,Drought,Most_Negative,Lagos,2024,0.0,-10.0,1.745769653486419,1.6589708229146205,-0.086798830571799,-4.971952078468997
LightGBM,T+0_R-10,Drought,Most_Negative,Jigawa,2024,0.0,-10.0,2.1719872802994367,2.086661545627409,-0.0853257346720277,-3.928463828769038
LightGBM,T+0_R-10,Drought,Most_Positive,Abia,2024,0.0,-10.0,1.885718280346168,1.933178548507874,0.0474602681617064,2.516827070955372
LightGBM,T+0_R-10,Drought,Most_Positive,Edo,2024,0.0,-10.0,2.0208195123023867,2.0705007568362137,0.049681244533827,2.4584701519050336
LightGBM,T+0_R-10,Drought,Most_Positive,Nasarawa,2024,0.0,-10.0,2.8528243385884564,2.9083415986426404,0.055517260054184,1.946045513676923
LightGBM,T+0_R-10,Drought,Most_Positive,Oyo,2024,0.0,-10.0,1.9520850306715003,2.0525891609852867,0.1005041303137861,5.148552892658246
LightGBM,T+0_R-10,Drought,Most_Positive,Osun,2024,0.0,-10.0,1.6977145580657644,1.8103014901905796,0.1125869321248149,6.631676190200501
LightGBM,T+0_R-20,Drought,Most_Negative,Ogun,2024,0.0,-20.0,2.201893978512967,1.9491091002446972,-0.2527848782682698,-11.480338323963544
LightGBM,T+0_R-20,Drought,Most_Negative,Imo,2024,0.0,-20.0,1.9852379020439388,1.7743942748928785,-0.2108436271510605,-10.620572322036695
LightGBM,T+0_R-20,Drought,Most_Negative,Bayelsa,2024,0.0,-20.0,1.9780597189458773,1.7814337577290302,-0.1966259612168472,-9.940345042849904
LightGBM,T+0_R-20,Drought,Most_Negative,Kogi,2024,0.0,-20.0,2.777658283495822,2.6551845378793835,-0.1224737456164386,-4.409244518814578
LightGBM,T+0_R-20,Drought,Most_Negative,Jigawa,2024,0.0,-20.0,2.1719872802994367,2.0656776339049494,-0.1063096463944872,-4.894579602686767
LightGBM,T+0_R-20,Drought,Most_Positive,Bauchi,2024,0.0,-20.0,2.288970852812262,2.3224966549412107,0.0335258021289486,1.4646670615206108
LightGBM,T+0_R-20,Drought,Most_Positive,Taraba,2024,0.0,-20.0,2.638245673999239,2.6757208972691364,0.0374752232698973,1.4204599533405011
LightGBM,T+0_R-20,Drought,Most_Positive,Sokoto,2024,0.0,-20.0,2.2195111565910786,2.260714648377301,0.0412034917862222,1.856421927137607
LightGBM,T+0_R-20,Drought,Most_Positive,Abia,2024,0.0,-20.0,1.885718280346168,1.933178548507874,0.0474602681617064,2.516827070955372
LightGBM,T+0_R-20,Drought,Most_Positive,Kaduna,2024,0.0,-20.0,2.150619625529219,2.2225297737051823,0.0719101481759634,3.3436944089203107
LightGBM,T+0_R-30,Drought,Most_Negative,Ogun,2024,0.0,-30.0,2.201893978512967,1.9999302931517189,-0.2019636853612485,-9.172271114417743
LightGBM,T+0_R-30,Drought,Most_Negative,Bayelsa,2024,0.0,-30.0,1.9780597189458773,1.7814337577290302,-0.1966259612168472,-9.940345042849904
LightGBM,T+0_R-30,Drought,Most_Negative,Imo,2024,0.0,-30.0,1.9852379020439388,1.791030775375508,-0.1942071266684308,-9.782561901950457
LightGBM,T+0_R-30,Drought,Most_Negative,Jigawa,2024,0.0,-30.0,2.1719872802994367,1.9797977501468864,-0.19218953015255,-8.848556890538244
LightGBM,T+0_R-30,Drought,Most_Negative,Kano,2024,0.0,-30.0,2.1392041565082125,1.9497033357988305,-0.189500820709382,-8.858472910724943
LightGBM,T+0_R-30,Drought,Most_Positive,Bauchi,2024,0.0,-30.0,2.288970852812262,2.2998489035458407,0.0108780507335786,0.4752376256872684
LightGBM,T+0_R-30,Drought,Most_Positive,Gombe,2024,0.0,-30.0,2.757550720508127,2.779343542235027,0.0217928217268998,0.7902963149444511
LightGBM,T+0_R-30,Drought,Most_Positive,Abia,2024,0.0,-30.0,1.885718280346168,1.922431711035208,0.0367134306890404,1.946920230433404
LightGBM,T+0_R-30,Drought,Most_Positive,Plateau,2024,0.0,-30.0,2.117811946993451,2.1572300909255,0.0394181439320493,1.8612674268841127
LightGBM,T+0_R-30,Drought,Most_Positive,Osun,2024,0.0,-30.0,1.6977145580657644,1.7455417057959712,0.0478271477302068,2.8171489431472563
LightGBM,T+0_R0,Baseline,Most_Negative,Abia,2024,0.0,0.0,1.885718280346168,1.885718280346168,0.0,0.0
LightGBM,T+0_R0,Baseline,Most_Negative,Adamawa,2024,0.0,0.0,2.702934726059281,2.702934726059281,0.0,0.0
LightGBM,T+0_R0,Baseline,Most_Negative,Akwa Ibom,2024,0.0,0.0,1.7518811138048205,1.7518811138048205,0.0,0.0
LightGBM,T+0_R0,Baseline,Most_Negative,Anambra,2024,0.0,0.0,1.960842737599652,1.960842737599652,0.0,0.0
LightGBM,T+0_R0,Baseline,Most_Negative,Bauchi,2024,0.0,0.0,2.288970852812262,2.288970852812262,0.0,0.0
