Model,Temperature_Shift_C,State,Monotonic_Drought_Response,Yield_R0,Yield_Rminus10,Yield_Rminus20,Yield_Rminus30
LightGBM,0.0,Abia,False,1.885718280346168,1.933178548507874,1.933178548507874,1.922431711035208
LightGBM,0.0,Adamawa,False,2.702934726059281,2.7194601809274497,2.6769402616311138,2.583341869318306
LightGBM,0.0,Akwa Ibom,False,1.7518811138048205,1.7727158397260212,1.7506304966736674,1.7506304966736674
LightGBM,0.0,Anambra,False,1.960842737599652,1.962491137796327,1.962491137796327,1.951744300323661
LightGBM,0.0,Bauchi,False,2.288970852812262,2.3010761427543804,2.3224966549412107,2.2998489035458407
LightGBM,0.0,Bayelsa,True,1.9780597189458773,1.840943931199451,1.7814337577290302,1.7814337577290302
LightGBM,0.0,Benue,True,2.6716814124765933,2.5974719250487674,2.5974719250487674,2.5432373812440523
LightGBM,0.0,Borno,False,2.5538667935889894,2.5601442292499037,2.5572272614078777,2.5043176605042734
LightGBM,0.0,Cross River,False,1.7929998542711614,1.8096024818982064,1.7814337577290302,1.7814337577290302
LightGBM,0.0,Delta,False,1.9705492690557629,1.9721976692524377,1.9721976692524377,1.961450831779772
LightGBM,0.0,Ebonyi,True,1.8361117699485616,1.8361117699485616,1.8361117699485616,1.8361117699485616
LightGBM,0.0,Edo,False,2.0208195123023867,2.0705007568362137,2.0212938050322764,2.011755541498893
LightGBM,0.0,Ekiti,True,2.12982541303054,2.088741241209896,2.088741241209896,2.081549501216257
LightGBM,0.0,Enugu,True,1.9718888257207303,1.9529951480705536,1.9529951480705536,1.9529951480705536
LightGBM,0.0,FCT,True,2.675089302187353,2.5963909556877347,2.58537349248515,2.550321267640878
LightGBM,0.0,Gombe,False,2.757550720508127,2.7658796104995087,2.769409502546014,2.779343542235027
LightGBM,0.0,Imo,False,1.9852379020439388,1.795292292442748,1.7743942748928785,1.791030775375508
LightGBM,0.0,Jigawa,True,2.1719872802994367,2.086661545627409,2.0656776339049494,1.9797977501468864
LightGBM,0.0,Kaduna,False,2.150619625529219,2.1825417059770924,2.2225297737051823,2.1558686873423847
LightGBM,0.0,Kano,False,2.1392041565082125,2.034984744186009,2.0414145772080885,1.9497033357988305
LightGBM,0.0,Katsina,True,1.9519067976449576,1.924530656726601,1.9114252381347296,1.901359701509892
LightGBM,0.0,Kebbi,True,2.073716090789913,2.0691341557736784,2.066997611355011,2.0611905040536027
LightGBM,0.0,Kogi,True,2.777658283495822,2.719873672158557,2.6551845378793835,2.6551845378793835
LightGBM,0.0,Kwara,False,2.320563274323994,2.365466138585991,2.2565146752561502,2.2282513187543675
LightGBM,0.0,Lagos,True,1.745769653486419,1.6589708229146205,1.6517790829209815,1.6517790829209815
LightGBM,0.0,Nasarawa,False,2.8528243385884564,2.9083415986426404,2.861596549191071,2.7167365121779343
LightGBM,0.0,Niger,True,2.714291854945248,2.695398177295072,2.695398177295072,2.630709043015898
LightGBM,0.0,Ogun,False,2.201893978512967,2.1219271668854995,1.9491091002446972,1.9999302931517189
LightGBM,0.0,Ondo,True,2.12982541303054,2.088741241209896,2.088741241209896,2.081549501216257
LightGBM,0.0,Osun,False,1.6977145580657644,1.8103014901905796,1.6607435066837004,1.7455417057959712
LightGBM,0.0,Oyo,False,1.9520850306715003,2.0525891609852867,1.86379377998202,1.9491846058996043
LightGBM,0.0,Plateau,False,2.117811946993451,2.1488850186073254,2.13233730403572,2.1572300909255
LightGBM,0.0,Rivers,False,1.824341303572406,1.823211717680269,1.7814337577290302,1.81740593178447
LightGBM,0.0,Sokoto,False,2.2195111565910786,2.264046962887896,2.260714648377301,2.164748039054239
LightGBM,0.0,Taraba,False,2.638245673999239,2.63254706216097,2.6757208972691364,2.605341849041863
LightGBM,0.0,Yobe,True,1.868868694497328,1.8541644136750128,1.815547531553572,1.7178264077730614
LightGBM,0.0,Zamfara,True,1.9801238613872905,1.950734373682137,1.9016295739238944,1.9016295739238944
