Model,Temperature_Shift_C,State,Monotonic_Drought_Response,Yield_R0,Yield_Rminus10,Yield_Rminus20,Yield_Rminus30
RandomForest,0.0,Abia,False,1.9242374470899453,1.9242772486772468,1.923178597883596,1.923178597883597
RandomForest,0.0,Adamawa,True,2.5210381298331286,2.507242256817256,2.502676965811964,2.497017838827837
RandomForest,0.0,Akwa Ibom,False,1.868412592685091,1.8712493916268904,1.851638165538164,1.8508247925222916
RandomForest,0.0,Anambra,True,1.8766700360750344,1.8612830074555056,1.858034753487252,1.858034753487252
RandomForest,0.0,Bauchi,True,2.347526554186554,2.345573802863803,2.3272510779960784,2.325327096514597
RandomForest,0.0,Bayelsa,True,1.9828558646908636,1.9051570239020228,1.8869257978132965,1.8861124247974232
RandomForest,0.0,Benue,True,2.7372636014911023,2.736927993025493,2.721644329004329,2.7137982178932183
RandomForest,0.0,Borno,False,2.659030012025013,2.6644277104377108,2.6651924723424725,2.674663107263107
RandomForest,0.0,Cross River,False,1.9022551720501708,1.9050919709919705,1.886616856014355,1.8858034829984816
RandomForest,0.0,Delta,True,1.936648594276093,1.9209782323232305,1.9186823593073572,1.9186823593073583
RandomForest,0.0,Ebonyi,True,1.7944163329263327,1.791512629222629,1.791512629222629,1.791512629222629
RandomForest,0.0,Edo,True,2.0688820586820573,2.011169889369888,2.008685762385761,2.008685762385761
RandomForest,0.0,Ekiti,False,2.184954420856922,2.18692678858179,2.1837063123913127,2.186205201280202
RandomForest,0.0,Enugu,True,1.8868568217893211,1.886856821789321,1.886856821789321,1.886856821789321
RandomForest,0.0,FCT,True,2.50843773976024,2.502562263569762,2.495763215950716,2.492058771506272
RandomForest,0.0,Gombe,False,2.5915788844488827,2.5902677985902973,2.5902997532097523,2.584202015114513
RandomForest,0.0,Imo,False,1.9377850873200853,1.8696741786916773,1.854337467532465,1.8570981818181804
RandomForest,0.0,Jigawa,True,1.9830492814592824,1.9621699825174832,1.936906638361639,1.9233373526473532
RandomForest,0.0,Kaduna,False,2.287400253265251,2.291040733063232,2.2895716986716974,2.2870622277722266
RandomForest,0.0,Kano,True,1.9585134601509613,1.9200158459133467,1.9159942297517312,1.899881055148556
RandomForest,0.0,Katsina,True,1.9979591144041136,1.9960148124098125,1.9903018025493024,1.9681957046657053
RandomForest,0.0,Kebbi,False,2.0630674849224846,2.061800500795501,2.061800500795501,2.062237643652644
RandomForest,0.0,Kogi,False,2.7516167929292936,2.7541650998075995,2.7395843061568064,2.7340009728234733
RandomForest,0.0,Kwara,False,2.3339023285048297,2.319128178673179,2.309212742165242,2.3178344088319096
RandomForest,0.0,Lagos,False,1.6620472915972917,1.649994474136974,1.6520718550893547,1.652071855089355
RandomForest,0.0,Nasarawa,False,2.855585733525734,2.8585911700336704,2.844591447811448,2.8425306012506013
RandomForest,0.0,Niger,True,2.7895873544973537,2.7677029497354484,2.7648896164021157,2.76160406084656
RandomForest,0.0,Ogun,False,2.039880582935582,2.032048219095718,1.9558925709475696,1.956524713804713
RandomForest,0.0,Ondo,False,2.184954420856922,2.18692678858179,2.1837063123913127,2.186205201280202
RandomForest,0.0,Osun,False,1.9470981176231168,1.9657348504273509,1.905482248677248,1.9075776058201053
RandomForest,0.0,Oyo,False,2.00642909044659,2.008906329966329,1.949484557479556,1.950776224146224
RandomForest,0.0,Plateau,False,2.262516705886705,2.263201282606282,2.2527239942464927,2.24780348198098
RandomForest,0.0,Rivers,False,1.9099420239020224,1.900634761997261,1.8930198189773173,1.8961592237392224
RandomForest,0.0,Sokoto,False,2.072815544455543,2.0749230047730043,2.0694667349317344,2.037421192603692
RandomForest,0.0,Taraba,True,2.5324139902689886,2.5296582363007354,2.518451543179042,2.506530723073222
RandomForest,0.0,Yobe,True,1.9694176791726787,1.9442339514189504,1.941900618085617,1.9254090379990376
RandomForest,0.0,Zamfara,False,2.009601931586932,2.0024216141266145,1.9554264442039444,1.961971576479077
