Scenario,State,Year,Feature,Value,Training_Min,Training_Max,Below_Training_Min,Above_Training_Max,Outside_Training_Range
T+0_R0,Abia,2024,Seasonal_Rainfall_mm,1356.55,340.79,5688.79,False,False,False
T+0_R0,Adamawa,2024,Seasonal_Rainfall_mm,904.24,340.79,5688.79,False,False,False
T+0_R0,Akwa Ibom,2024,Seasonal_Rainfall_mm,1869.09,340.79,5688.79,False,False,False
T+0_R0,Anambra,2024,Seasonal_Rainfall_mm,1347.01,340.79,5688.79,False,False,False
T+0_R0,Bauchi,2024,Seasonal_Rainfall_mm,1085.11,340.79,5688.79,False,False,False
T+0_R0,Bayelsa,2024,Seasonal_Rainfall_mm,1882.98,340.79,5688.79,False,False,False
T+0_R0,Benue,2024,Seasonal_Rainfall_mm,963.15,340.79,5688.79,False,False,False
T+0_R0,Borno,2024,Seasonal_Rainfall_mm,583.16,340.79,5688.79,False,False,False
T+0_R0,Cross River,2024,Seasonal_Rainfall_mm,1869.09,340.79,5688.79,False,False,False
T+0_R0,Delta,2024,Seasonal_Rainfall_mm,1347.01,340.79,5688.79,False,False,False
T+0_R0,Ebonyi,2024,Seasonal_Rainfall_mm,903.47,340.79,5688.79,False,False,False
T+0_R0,Edo,2024,Seasonal_Rainfall_mm,1355.78,340.79,5688.79,False,False,False
T+0_R0,Ekiti,2024,Seasonal_Rainfall_mm,1356.8000000000002,340.79,5688.79,False,False,False
T+0_R0,Enugu,2024,Seasonal_Rainfall_mm,975.9,340.79,5688.79,False,False,False
T+0_R0,FCT,2024,Seasonal_Rainfall_mm,1154.31,340.79,5688.79,False,False,False
T+0_R0,Gombe,2024,Seasonal_Rainfall_mm,1433.4500000000005,340.79,5688.79,False,False,False
T+0_R0,Imo,2024,Seasonal_Rainfall_mm,1603.58,340.79,5688.79,False,False,False
T+0_R0,Jigawa,2024,Seasonal_Rainfall_mm,1018.26,340.79,5688.79,False,False,False
T+0_R0,Kaduna,2024,Seasonal_Rainfall_mm,1456.84,340.79,5688.79,False,False,False
T+0_R0,Kano,2024,Seasonal_Rainfall_mm,1001.38,340.79,5688.79,False,False,False
T+0_R0,Katsina,2024,Seasonal_Rainfall_mm,1290.86,340.79,5688.79,False,False,False
T+0_R0,Kebbi,2024,Seasonal_Rainfall_mm,2129.96,340.79,5688.79,False,False,False
T+0_R0,Kogi,2024,Seasonal_Rainfall_mm,876.2099999999998,340.79,5688.79,False,False,False
T+0_R0,Kwara,2024,Seasonal_Rainfall_mm,1215.39,340.79,5688.79,False,False,False
T+0_R0,Lagos,2024,Seasonal_Rainfall_mm,1316.66,340.79,5688.79,False,False,False
T+0_R0,Nasarawa,2024,Seasonal_Rainfall_mm,1023.58,340.79,5688.79,False,False,False
T+0_R0,Niger,2024,Seasonal_Rainfall_mm,908.71,340.79,5688.79,False,False,False
T+0_R0,Ogun,2024,Seasonal_Rainfall_mm,1605.6,340.79,5688.79,False,False,False
T+0_R0,Ondo,2024,Seasonal_Rainfall_mm,1356.8000000000002,340.79,5688.79,False,False,False
T+0_R0,Osun,2024,Seasonal_Rainfall_mm,1679.4299999999998,340.79,5688.79,False,False,False
T+0_R0,Oyo,2024,Seasonal_Rainfall_mm,1632.55,340.79,5688.79,False,False,False
T+0_R0,Plateau,2024,Seasonal_Rainfall_mm,1375.73,340.79,5688.79,False,False,False
T+0_R0,Rivers,2024,Seasonal_Rainfall_mm,1770.85,340.79,5688.79,False,False,False
T+0_R0,Sokoto,2024,Seasonal_Rainfall_mm,1363.51,340.79,5688.79,False,False,False
T+0_R0,Taraba,2024,Seasonal_Rainfall_mm,1095.85,340.79,5688.79,False,False,False
T+0_R0,Yobe,2024,Seasonal_Rainfall_mm,926.85,340.79,5688.79,False,False,False
T+0_R0,Zamfara,2024,Seasonal_Rainfall_mm,694.8700000000001,340.79,5688.79,False,False,False
T+0_R0,Abia,2024,Seasonal_GDD_C,4627.7,2545.795,4805.745,False,False,False
T+0_R0,Adamawa,2024,Seasonal_GDD_C,3318.585,2545.795,4805.745,False,False,False
T+0_R0,Akwa Ibom,2024,Seasonal_GDD_C,4694.005000000001,2545.795,4805.745,False,False,False
T+0_R0,Anambra,2024,Seasonal_GDD_C,4641.875,2545.795,4805.745,False,False,False
T+0_R0,Bauchi,2024,Seasonal_GDD_C,3200.24,2545.795,4805.745,False,False,False
