Scenario,Scenario_Type,Temperature_Shift_C,Rainfall_Shift_pct,Feature,Training_Min,Training_Max,Below_Training_Min,Above_Training_Max,Outside_Training_Range,Outside_Training_Range_pct
T+0_R0,Baseline,0.0,0.0,Seasonal_Rainfall_mm,340.79,5688.79,0.0,0.0,0,0.0
T+0_R0,Baseline,0.0,0.0,Seasonal_GDD_C,2545.795,4805.745,0.0,1.0,1,2.7027027027027026
T+0_R0,Baseline,0.0,0.0,Mean_Tmax_C,26.530373831775705,37.37739130434783,0.0,0.0,0,0.0
T+0_R0,Baseline,0.0,0.0,Mean_Tmin_C,18.60668224299065,25.44163043478261,0.0,0.0,0,0.0
T+0_R0,Baseline,0.0,0.0,Rainfall_Anomaly_Z_2000_2019,-2.9722877578679507,15.012756673567567,0.0,0.0,0,0.0
T+0_R0,Baseline,0.0,0.0,__ANY_STRESS_FEATURE__,,,,,1,2.7027027027027026
T+0_R-10,Drought,0.0,-10.0,Seasonal_Rainfall_mm,340.79,5688.79,0.0,0.0,0,0.0
T+0_R-10,Drought,0.0,-10.0,Seasonal_GDD_C,2545.795,4805.745,0.0,1.0,1,2.7027027027027026
T+0_R-10,Drought,0.0,-10.0,Mean_Tmax_C,26.530373831775705,37.37739130434783,0.0,0.0,0,0.0
T+0_R-10,Drought,0.0,-10.0,Mean_Tmin_C,18.60668224299065,25.44163043478261,0.0,0.0,0,0.0
T+0_R-10,Drought,0.0,-10.0,Rainfall_Anomaly_Z_2000_2019,-2.9722877578679507,15.012756673567567,0.0,0.0,0,0.0
T+0_R-10,Drought,0.0,-10.0,__ANY_STRESS_FEATURE__,,,,,1,2.7027027027027026
T+0_R-20,Drought,0.0,-20.0,Seasonal_Rainfall_mm,340.79,5688.79,0.0,0.0,0,0.0
T+0_R-20,Drought,0.0,-20.0,Seasonal_GDD_C,2545.795,4805.745,0.0,1.0,1,2.7027027027027026
T+0_R-20,Drought,0.0,-20.0,Mean_Tmax_C,26.530373831775705,37.37739130434783,0.0,0.0,0,0.0
T+0_R-20,Drought,0.0,-20.0,Mean_Tmin_C,18.60668224299065,25.44163043478261,0.0,0.0,0,0.0
T+0_R-20,Drought,0.0,-20.0,Rainfall_Anomaly_Z_2000_2019,-2.9722877578679507,15.012756673567567,0.0,0.0,0,0.0
T+0_R-20,Drought,0.0,-20.0,__ANY_STRESS_FEATURE__,,,,,1,2.7027027027027026
T+0_R-30,Drought,0.0,-30.0,Seasonal_Rainfall_mm,340.79,5688.79,0.0,0.0,0,0.0
T+0_R-30,Drought,0.0,-30.0,Seasonal_GDD_C,2545.795,4805.745,0.0,1.0,1,2.7027027027027026
T+0_R-30,Drought,0.0,-30.0,Mean_Tmax_C,26.530373831775705,37.37739130434783,0.0,0.0,0,0.0
T+0_R-30,Drought,0.0,-30.0,Mean_Tmin_C,18.60668224299065,25.44163043478261,0.0,0.0,0,0.0
T+0_R-30,Drought,0.0,-30.0,Rainfall_Anomaly_Z_2000_2019,-2.9722877578679507,15.012756673567567,2.0,0.0,2,5.405405405405405
T+0_R-30,Drought,0.0,-30.0,__ANY_STRESS_FEATURE__,,,,,3,8.108108108108109
T+1_R0,Heat,1.0,0.0,Seasonal_Rainfall_mm,340.79,5688.79,0.0,0.0,0,0.0
T+1_R0,Heat,1.0,0.0,Seasonal_GDD_C,2545.795,4805.745,0.0,13.0,13,35.13513513513514
T+1_R0,Heat,1.0,0.0,Mean_Tmax_C,26.530373831775705,37.37739130434783,0.0,0.0,0,0.0
T+1_R0,Heat,1.0,0.0,Mean_Tmin_C,18.60668224299065,25.44163043478261,0.0,2.0,2,5.405405405405405
T+1_R0,Heat,1.0,0.0,Rainfall_Anomaly_Z_2000_2019,-2.9722877578679507,15.012756673567567,0.0,0.0,0,0.0
T+1_R0,Heat,1.0,0.0,__ANY_STRESS_FEATURE__,,,,,14,37.83783783783784
T+1_R-10,Compound,1.0,-10.0,Seasonal_Rainfall_mm,340.79,5688.79,0.0,0.0,0,0.0
T+1_R-10,Compound,1.0,-10.0,Seasonal_GDD_C,2545.795,4805.745,0.0,13.0,13,35.13513513513514
T+1_R-10,Compound,1.0,-10.0,Mean_Tmax_C,26.530373831775705,37.37739130434783,0.0,0.0,0,0.0
T+1_R-10,Compound,1.0,-10.0,Mean_Tmin_C,18.60668224299065,25.44163043478261,0.0,2.0,2,5.405405405405405
T+1_R-10,Compound,1.0,-10.0,Rainfall_Anomaly_Z_2000_2019,-2.9722877578679507,15.012756673567567,0.0,0.0,0,0.0
T+1_R-10,Compound,1.0,-10.0,__ANY_STRESS_FEATURE__,,,,,14,37.83783783783784
T+1_R-20,Compound,1.0,-20.0,Seasonal_Rainfall_mm,340.79,5688.79,0.0,0.0,0,0.0
