Scenario,Scenario_Type,Temperature_Shift_C,Rainfall_Shift_pct,State,Year,Season_Group,Seasonal_Rainfall_mm,Seasonal_GDD_C,Max_CDD_days,Mean_Tmax_C,Mean_Tmin_C,Mean_RH_pct,Mean_Solar_Radiation_MJ_m2_day,Rainfall_Anomaly_Z_2000_2019,Weather_Valid_Days,Weather_Total_Days,Baseline_Max_CDD_days,Baseline_Seasonal_GDD_C,Baseline_Seasonal_Rainfall_mm,Baseline_Rainfall_Anomaly_Z,CDD_Change_days,GDD_Change_C,Rainfall_Change_mm,Rainfall_Anomaly_Change
T+0_R0,Baseline,0.0,0.0,Abia,2024,South,1356.55,4627.7,23,30.031090909090903,23.62490909090909,87.19501818181817,15.994727272727271,-0.9196010910323762,275,275,23,4627.7,1356.55,-0.9196010910323762,0,0.0,0.0,0.0
T+0_R0,Baseline,0.0,0.0,Adamawa,2024,North,904.24,3318.585,12,32.40342391304348,23.668152173913047,72.47163043478261,18.33570652173913,0.5051163098175504,184,184,12,3318.585,904.24,0.5051163098175504,0,0.0,0.0,0.0
T+0_R0,Baseline,0.0,0.0,Akwa Ibom,2024,South,1869.09,4694.005000000001,18,29.75338181818182,24.384836363636364,87.72872727272728,15.994727272727271,-1.8894777114847496,275,275,18,4694.005000000001,1869.09,-1.8894777114847496,0,0.0,0.0,0.0
T+0_R0,Baseline,0.0,0.0,Anambra,2024,South,1347.01,4641.875,21,30.05850909090909,23.700581818181817,86.4098909090909,16.76098181818182,-0.6683966152075341,275,275,21,4641.875,1347.01,-0.6683966152075341,0,0.0,0.0,0.0
T+0_R0,Baseline,0.0,0.0,Bauchi,2024,North,1085.11,3200.24,16,31.968804347826087,22.816413043478263,71.98304347826088,19.371358695652173,2.0242342283357715,184,184,16,3200.24,1085.11,2.0242342283357715,0,0.0,0.0,0.0
T+0_R0,Baseline,0.0,0.0,Bayelsa,2024,South,1882.98,4720.065,21,29.968800000000005,24.358945454545456,88.53152727272726,14.644981818181815,-0.5543351476094643,275,275,21,4720.065,1882.98,-0.5543351476094643,0,0.0,0.0,0.0
T+0_R0,Baseline,0.0,0.0,Benue,2024,Middle,963.15,3758.71,8,31.120794392523365,24.007336448598124,81.08780373831776,17.053878504672895,-0.7241881075650654,214,214,8,3758.71,963.15,-0.7241881075650654,0,0.0,0.0,0.0
T+0_R0,Baseline,0.0,0.0,Borno,2024,North,583.16,3727.105,29,35.42760869565217,25.08440217391305,58.93391304347826,19.25429347826087,0.4205674837447025,184,184,29,3727.105,583.16,0.4205674837447025,0,0.0,0.0,0.0
T+0_R0,Baseline,0.0,0.0,Cross River,2024,South,1869.09,4694.005000000001,18,29.75338181818182,24.384836363636364,87.72872727272728,14.285345454545457,-1.8894777114847496,275,275,18,4694.005000000001,1869.09,-1.8894777114847496,0,0.0,0.0,0.0
T+0_R0,Baseline,0.0,0.0,Delta,2024,South,1347.01,4641.875,21,30.05850909090909,23.700581818181817,86.4098909090909,16.385490909090908,-0.6683966152075341,275,275,21,4641.875,1347.01,-0.6683966152075341,0,0.0,0.0,0.0
T+0_R0,Baseline,0.0,0.0,Ebonyi,2024,South,903.47,4949.355,32,31.96454545454545,24.03076363636364,78.39523636363637,17.160509090909088,-1.546026003363861,275,275,32,4949.355,903.47,-1.546026003363861,0,0.0,0.0,0.0
T+0_R0,Baseline,0.0,0.0,Edo,2024,South,1355.78,4583.435,12,29.72083636363637,23.613236363636364,89.4073090909091,15.766727272727271,-0.6234406615451246,275,275,12,4583.435,1355.78,-0.6234406615451246,0,0.0,0.0,0.0
T+0_R0,Baseline,0.0,0.0,Ekiti,2024,South,1356.8000000000002,4302.264999999999,20,29.06705454545454,22.22214545454545,86.85934545454545,16.821854545454546,-0.4765436240340352,275,275,20,4302.264999999999,1356.8000000000002,-0.4765436240340352,0,0.0,0.0,0.0
T+0_R0,Baseline,0.0,0.0,Enugu,2024,South,975.9,4722.129999999999,29,30.869672727272725,23.47309090909091,81.54152727272727,16.76098181818182,-1.4811767773960562,275,275,29,4722.129999999999,975.9,-1.4811767773960562,0,0.0,0.0,0.0
T+0_R0,Baseline,0.0,0.0,FCT,2024,Middle,1154.31,3569.07,11,30.60518691588785,22.75060747663552,80.45640186915888,17.145467289719626,-0.0856823432362582,214,214,11,3569.07,1154.31,-0.0856823432362582,0,0.0,0.0,0.0
T+0_R0,Baseline,0.0,0.0,Gombe,2024,North,1433.4500000000005,3255.21,16,31.93304347826087,23.44967391304348,73.95494565217392,19.025163043478265,2.8998050239842983,184,184,16,3255.21,1433.4500000000005,2.8998050239842983,0,0.0,0.0,0.0
T+0_R0,Baseline,0.0,0.0,Imo,2024,South,1603.58,4689.094999999999,21,30.224945454545452,23.87756363636364,87.54370909090908,15.994727272727271,-0.3836029634683416,275,275,21,4689.094999999999,1603.58,-0.3836029634683416,0,0.0,0.0,0.0
T+0_R0,Baseline,0.0,0.0,Jigawa,2024,North,1018.26,3497.245,16,34.34570652173913,23.66782608695652,65.43054347826087,19.946739130434786,2.6316584935954377,184,184,16,3497.245,1018.26,2.6316584935954377,0,0.0,0.0,0.0
T+0_R0,Baseline,0.0,0.0,Kaduna,2024,North,1456.84,2800.6800000000003,9,29.123260869565215,21.31891304347826,82.87179347826087,17.654891304347824,0.6432506088992294,184,184,9,2800.6800000000003,1456.84,0.6432506088992294,0,0.0,0.0,0.0
T+0_R0,Baseline,0.0,0.0,Kano,2024,North,1001.38,3483.455,16,34.5625,23.301141304347823,65.6521195652174,20.282445652173912,2.4299972049098817,184,184,16,3483.455,1001.38,2.4299972049098817,0,0.0,0.0,0.0
T+0_R0,Baseline,0.0,0.0,Katsina,2024,North,1290.86,3208.635,17,31.866684782608697,23.009782608695648,71.46581521739131,19.78010869565217,5.707961992605359,184,184,17,3208.635,1290.86,5.707961992605359,0,0.0,0.0,0.0
T+0_R0,Baseline,0.0,0.0,Kebbi,2024,North,2129.96,3373.3050000000003,14,32.69858695652174,23.967771739130438,77.36255434782608,19.648369565217397,13.219542711920042,184,184,14,3373.3050000000003,2129.96,13.219542711920042,0,0.0,0.0,0.0
T+0_R0,Baseline,0.0,0.0,Kogi,2024,Middle,876.2099999999998,3787.005,7,31.41172897196261,23.98084112149533,80.40649532710282,16.695794392523368,-0.7200297516520903,214,214,7,3787.005,876.2099999999998,-0.7200297516520903,0,0.0,0.0,0.0
T+0_R0,Baseline,0.0,0.0,Kwara,2024,Middle,1215.39,3515.295,13,30.14434579439252,22.7088785046729,83.5259813084112,16.815327102803735,0.417083623382899,214,214,13,3515.295,1215.39,0.417083623382899,0,0.0,0.0,0.0
T+0_R0,Baseline,0.0,0.0,Lagos,2024,South,1316.66,4739.834999999999,16,29.03090909090909,25.44061818181818,86.61469090909091,16.325090909090907,-0.4318672772924319,275,275,16,4739.834999999999,1316.66,-0.4318672772924319,0,0.0,0.0,0.0
T+0_R0,Baseline,0.0,0.0,Nasarawa,2024,Middle,1023.58,3821.105,16,31.623457943925235,24.087803738317756,78.61088785046731,17.359859813084114,0.0556549880803927,214,214,16,3821.105,1023.58,0.0556549880803927,0,0.0,0.0,0.0
T+0_R0,Baseline,0.0,0.0,Niger,2024,Middle,908.71,3892.51,8,32.02266355140187,24.355934579439253,77.47570093457945,17.4807476635514,-0.910216301881244,214,214,8,3892.51,908.71,-0.910216301881244,0,0.0,0.0,0.0
T+0_R0,Baseline,0.0,0.0,Ogun,2024,South,1605.6,4582.57,15,29.627236363636364,23.70054545454545,89.01341818181818,16.325090909090907,0.0073989867254078,275,275,15,4582.57,1605.6,0.0073989867254078,0,0.0,0.0,0.0
T+0_R0,Baseline,0.0,0.0,Ondo,2024,South,1356.8000000000002,4302.264999999999,20,29.06705454545454,22.22214545454545,86.85934545454545,16.821854545454546,-0.4765436240340352,275,275,20,4302.264999999999,1356.8000000000002,-0.4765436240340352,0,0.0,0.0,0.0
T+0_R0,Baseline,0.0,0.0,Osun,2024,South,1679.4299999999998,4410.16,20,29.38592727272728,22.687963636363637,88.06992727272726,15.928509090909092,0.1707275218903802,275,275,20,4410.16,1679.4299999999998,0.1707275218903802,0,0.0,0.0,0.0
T+0_R0,Baseline,0.0,0.0,Oyo,2024,South,1632.55,4472.030000000001,19,29.67494545454545,22.848909090909093,87.58556363636363,15.93450909090909,0.1658194519402747,275,275,19,4472.030000000001,1632.55,0.1658194519402747,0,0.0,0.0,0.0
T+0_R0,Baseline,0.0,0.0,Plateau,2024,Middle,1375.73,3065.7900000000004,9,28.977289719626164,19.67495327102804,77.79901869158877,16.974906542056075,1.5272735899390373,214,214,9,3065.7900000000004,1375.73,1.5272735899390373,0,0.0,0.0,0.0
T+0_R0,Baseline,0.0,0.0,Rivers,2024,South,1770.85,4714.629999999999,21,30.30472727272727,23.983490909090907,88.48505454545455,14.248981818181818,-0.7322444356504656,275,275,21,4714.629999999999,1770.85,-0.7322444356504656,0,0.0,0.0,0.0
T+0_R0,Baseline,0.0,0.0,Sokoto,2024,North,1363.51,3433.615,16,33.102663043478266,24.219239130434783,72.92222826086956,20.30445652173913,4.944994593631734,184,184,16,3433.615,1363.51,4.944994593631734,0,0.0,0.0,0.0
T+0_R0,Baseline,0.0,0.0,Taraba,2024,North,1095.85,3227.08,12,31.396032608695656,23.68092391304348,77.71913043478261,16.88103260869565,1.2225505917593709,184,184,12,3227.08,1095.85,1.2225505917593709,0,0.0,0.0,0.0
T+0_R0,Baseline,0.0,0.0,Yobe,2024,North,926.85,3455.5950000000003,31,33.55940217391304,24.001413043478266,66.63913043478261,20.06733695652174,2.0400254849642674,184,184,31,3455.5950000000003,926.85,2.0400254849642674,0,0.0,0.0,0.0
