State,Year,Model,Scenario,Scenario_Type,Temperature_Shift_C,Rainfall_Shift_pct,Predicted_Yield_Baseline,Predicted_Yield_Stress,Yield_Change_MT_Ha,Yield_Change_pct
Abia,2024,Ridge,T+0_R0,Baseline,0.0,0.0,2.1076467263764957,2.1076467263764957,0.0,0.0
Adamawa,2024,Ridge,T+0_R0,Baseline,0.0,0.0,2.228160901514541,2.228160901514541,0.0,0.0
Akwa Ibom,2024,Ridge,T+0_R0,Baseline,0.0,0.0,1.8726490601751038,1.8726490601751038,0.0,0.0
Anambra,2024,Ridge,T+0_R0,Baseline,0.0,0.0,1.995924798496167,1.995924798496167,0.0,0.0
Bauchi,2024,Ridge,T+0_R0,Baseline,0.0,0.0,2.1911408567156014,2.1911408567156014,0.0,0.0
Bayelsa,2024,Ridge,T+0_R0,Baseline,0.0,0.0,2.1283699370790585,2.1283699370790585,0.0,0.0
Benue,2024,Ridge,T+0_R0,Baseline,0.0,0.0,2.19856824250258,2.19856824250258,0.0,0.0
Borno,2024,Ridge,T+0_R0,Baseline,0.0,0.0,2.0703928745107003,2.0703928745107003,0.0,0.0
Cross River,2024,Ridge,T+0_R0,Baseline,0.0,0.0,2.0304451145029754,2.0304451145029754,0.0,0.0
Delta,2024,Ridge,T+0_R0,Baseline,0.0,0.0,2.0305870274144278,2.0305870274144278,0.0,0.0
Ebonyi,2024,Ridge,T+0_R0,Baseline,0.0,0.0,1.9564966462995064,1.9564966462995064,0.0,0.0
Edo,2024,Ridge,T+0_R0,Baseline,0.0,0.0,2.1110477155179725,2.1110477155179725,0.0,0.0
Ekiti,2024,Ridge,T+0_R0,Baseline,0.0,0.0,2.043711350651248,2.043711350651248,0.0,0.0
Enugu,2024,Ridge,T+0_R0,Baseline,0.0,0.0,2.0081454928192786,2.0081454928192786,0.0,0.0
FCT,2024,Ridge,T+0_R0,Baseline,0.0,0.0,2.242027472634797,2.242027472634797,0.0,0.0
Gombe,2024,Ridge,T+0_R0,Baseline,0.0,0.0,2.2229100314658368,2.2229100314658368,0.0,0.0
Imo,2024,Ridge,T+0_R0,Baseline,0.0,0.0,2.0945526450593936,2.0945526450593936,0.0,0.0
Jigawa,2024,Ridge,T+0_R0,Baseline,0.0,0.0,2.1819739435208776,2.1819739435208776,0.0,0.0
Kaduna,2024,Ridge,T+0_R0,Baseline,0.0,0.0,2.3632044264644927,2.3632044264644927,0.0,0.0
Kano,2024,Ridge,T+0_R0,Baseline,0.0,0.0,2.225563194098675,2.225563194098675,0.0,0.0
Katsina,2024,Ridge,T+0_R0,Baseline,0.0,0.0,2.2080260154060616,2.2080260154060616,0.0,0.0
Kebbi,2024,Ridge,T+0_R0,Baseline,0.0,0.0,2.632935313166964,2.632935313166964,0.0,0.0
Kogi,2024,Ridge,T+0_R0,Baseline,0.0,0.0,2.253636314716768,2.253636314716768,0.0,0.0
Kwara,2024,Ridge,T+0_R0,Baseline,0.0,0.0,2.3570629056563646,2.3570629056563646,0.0,0.0
