Scenario,Scenario_Type,Temperature_Shift_C,Rainfall_Shift_pct,State,Year,Season_Group,Seasonal_Rainfall_mm,Seasonal_GDD_C,Max_CDD_days,Mean_Tmax_C,Mean_Tmin_C,Mean_RH_pct,Mean_Solar_Radiation_MJ_m2_day,Rainfall_Anomaly_Z_2000_2019,Weather_Valid_Days,Weather_Total_Days
T+0_R0,Baseline,0.0,0.0,Abia,2024,South,1356.55,4627.7,23,30.031090909090906,23.62490909090909,87.19501818181817,15.994727272727273,-0.9196010910323762,275,275
T+0_R0,Baseline,0.0,0.0,Adamawa,2024,North,904.24,3318.585,12,32.403423913043476,23.668152173913047,72.47163043478261,18.33570652173913,0.5051163098175504,184,184
T+0_R0,Baseline,0.0,0.0,Akwa Ibom,2024,South,1869.0900000000001,4694.005000000001,18,29.75338181818182,24.384836363636364,87.72872727272728,15.994727272727273,-1.8894777114847499,275,275
T+0_R0,Baseline,0.0,0.0,Anambra,2024,South,1347.01,4641.875,21,30.05850909090909,23.700581818181817,86.4098909090909,16.76098181818182,-0.6683966152075341,275,275
T+0_R0,Baseline,0.0,0.0,Bauchi,2024,North,1085.1100000000001,3200.24,16,31.968804347826087,22.816413043478263,71.98304347826088,19.371358695652173,2.0242342283357715,184,184
T+0_R0,Baseline,0.0,0.0,Bayelsa,2024,South,1882.98,4720.065,21,29.968800000000005,24.358945454545456,88.53152727272726,14.644981818181817,-0.5543351476094643,275,275
T+0_R0,Baseline,0.0,0.0,Benue,2024,Middle,963.1500000000001,3758.71,8,31.120794392523365,24.007336448598124,81.08780373831776,17.053878504672895,-0.7241881075650654,214,214
T+0_R0,Baseline,0.0,0.0,Borno,2024,North,583.16,3727.105,29,35.42760869565217,25.08440217391305,58.93391304347826,19.25429347826087,0.42056748374470254,184,184
T+0_R0,Baseline,0.0,0.0,Cross River,2024,South,1869.0900000000001,4694.005000000001,18,29.75338181818182,24.384836363636364,87.72872727272728,14.285345454545455,-1.8894777114847499,275,275
T+0_R0,Baseline,0.0,0.0,Delta,2024,South,1347.01,4641.875,21,30.05850909090909,23.700581818181817,86.4098909090909,16.385490909090908,-0.6683966152075341,275,275
T+0_R0,Baseline,0.0,0.0,Ebonyi,2024,South,903.47,4949.355,32,31.964545454545455,24.030763636363638,78.39523636363637,17.160509090909088,-1.546026003363861,275,275
T+0_R0,Baseline,0.0,0.0,Edo,2024,South,1355.78,4583.4349999999995,12,29.720836363636366,23.613236363636364,89.4073090909091,15.766727272727271,-0.6234406615451246,275,275
T+0_R0,Baseline,0.0,0.0,Ekiti,2024,South,1356.8000000000002,4302.264999999999,20,29.06705454545454,22.222145454545455,86.85934545454545,16.821854545454546,-0.4765436240340352,275,275
T+0_R0,Baseline,0.0,0.0,Enugu,2024,South,975.9,4722.129999999999,29,30.869672727272725,23.47309090909091,81.54152727272727,16.76098181818182,-1.4811767773960562,275,275
T+0_R0,Baseline,0.0,0.0,FCT,2024,Middle,1154.31,3569.0699999999997,11,30.605186915887852,22.750607476635516,80.45640186915888,17.145467289719626,-0.08568234323625827,214,214
T+0_R0,Baseline,0.0,0.0,Gombe,2024,North,1433.4500000000003,3255.21,16,31.93304347826087,23.449673913043476,73.95494565217392,19.025163043478262,2.8998050239842983,184,184
T+0_R0,Baseline,0.0,0.0,Imo,2024,South,1603.58,4689.094999999999,21,30.224945454545455,23.877563636363636,87.54370909090908,15.994727272727273,-0.38360296346834166,275,275
T+0_R0,Baseline,0.0,0.0,Jigawa,2024,North,1018.26,3497.245,16,34.34570652173913,23.667826086956516,65.43054347826087,19.946739130434782,2.6316584935954377,184,184
T+0_R0,Baseline,0.0,0.0,Kaduna,2024,North,1456.8400000000001,2800.6800000000003,9,29.123260869565218,21.31891304347826,82.87179347826087,17.654891304347824,0.6432506088992294,184,184
T+0_R0,Baseline,0.0,0.0,Kano,2024,North,1001.3799999999999,3483.455,16,34.5625,23.301141304347826,65.6521195652174,20.282445652173912,2.4299972049098817,184,184
T+0_R0,Baseline,0.0,0.0,Katsina,2024,North,1290.8600000000001,3208.635,17,31.866684782608697,23.009782608695648,71.46581521739131,19.780108695652174,5.707961992605359,184,184
T+0_R0,Baseline,0.0,0.0,Kebbi,2024,North,2129.96,3373.3050000000003,14,32.69858695652174,23.967771739130434,77.36255434782608,19.648369565217394,13.219542711920042,184,184
T+0_R0,Baseline,0.0,0.0,Kogi,2024,Middle,876.2099999999998,3787.005,7,31.41172897196261,23.980841121495335,80.40649532710282,16.695794392523368,-0.7200297516520903,214,214
T+0_R0,Baseline,0.0,0.0,Kwara,2024,Middle,1215.3899999999999,3515.295,13,30.14434579439252,22.7088785046729,83.5259813084112,16.815327102803735,0.417083623382899,214,214
T+0_R0,Baseline,0.0,0.0,Lagos,2024,South,1316.66,4739.834999999999,16,29.03090909090909,25.44061818181818,86.61469090909091,16.325090909090907,-0.4318672772924319,275,275
