Model,Fold,Feature,Mean_Absolute_SHAP,Rank
LightGBM,1,Max_CDD_days,0.01288560227495674,8
LightGBM,1,Mean_RH_pct,0.031056635700333356,5
LightGBM,1,Mean_Solar_Radiation_MJ_m2_day,0.09428857103695669,2
LightGBM,1,Mean_Tmax_C,0.0641732737046055,4
LightGBM,1,Mean_Tmin_C,0.07649067445459777,3
LightGBM,1,Rainfall_Anomaly_Z_2000_2019,0.02018175541298713,7
LightGBM,1,Seasonal_GDD_C,0.15030398294757774,1
LightGBM,1,Seasonal_Rainfall_mm,0.0306345667538896,6
LightGBM,2,Max_CDD_days,0.02669826405061141,8
LightGBM,2,Mean_RH_pct,0.05450520340735436,4
LightGBM,2,Mean_Solar_Radiation_MJ_m2_day,0.0464654181335371,5
LightGBM,2,Mean_Tmax_C,0.0886107053780694,2
LightGBM,2,Mean_Tmin_C,0.054944735541519074,3
LightGBM,2,Rainfall_Anomaly_Z_2000_2019,0.036132007385562506,6
LightGBM,2,Seasonal_GDD_C,0.13820835846833204,1
LightGBM,2,Seasonal_Rainfall_mm,0.03492564006458575,7
LightGBM,3,Max_CDD_days,0.030269892776633788,7
LightGBM,3,Mean_RH_pct,0.029280573101820195,8
LightGBM,3,Mean_Solar_Radiation_MJ_m2_day,0.13298935833745737,1
LightGBM,3,Mean_Tmax_C,0.05722464258237299,4
LightGBM,3,Mean_Tmin_C,0.07897181729045266,3
LightGBM,3,Rainfall_Anomaly_Z_2000_2019,0.03604407540008413,6
LightGBM,3,Seasonal_GDD_C,0.13059633705657522,2
LightGBM,3,Seasonal_Rainfall_mm,0.03666035203454561,5
LightGBM,4,Max_CDD_days,0.01498900972814742,8
LightGBM,4,Mean_RH_pct,0.032154832006753765,7
LightGBM,4,Mean_Solar_Radiation_MJ_m2_day,0.06762452805855451,4
LightGBM,4,Mean_Tmax_C,0.0822934174104651,2
LightGBM,4,Mean_Tmin_C,0.04373110393501697,6
LightGBM,4,Rainfall_Anomaly_Z_2000_2019,0.07965590341341525,3
LightGBM,4,Seasonal_GDD_C,0.1404978470766823,1
LightGBM,4,Seasonal_Rainfall_mm,0.050397289762112794,5
LightGBM,5,Max_CDD_days,0.04304375801215132,5
LightGBM,5,Mean_RH_pct,0.020860313868918564,8
LightGBM,5,Mean_Solar_Radiation_MJ_m2_day,0.0734789344665072,2
LightGBM,5,Mean_Tmax_C,0.05697502136470754,3
LightGBM,5,Mean_Tmin_C,0.043951182101137756,4
LightGBM,5,Rainfall_Anomaly_Z_2000_2019,0.03809455584301741,6
LightGBM,5,Seasonal_GDD_C,0.21797576999236873,1
LightGBM,5,Seasonal_Rainfall_mm,0.02655227769852855,7
RandomForest,1,Max_CDD_days,0.007150175209113001,8
RandomForest,1,Mean_RH_pct,0.023393022842026334,6
RandomForest,1,Mean_Solar_Radiation_MJ_m2_day,0.06110814830557254,2
RandomForest,1,Mean_Tmax_C,0.04415018270455444,3
RandomForest,1,Mean_Tmin_C,0.0423333194117083,4
RandomForest,1,Rainfall_Anomaly_Z_2000_2019,0.013659376125025779,7
RandomForest,1,Seasonal_GDD_C,0.17252007493658392,1
RandomForest,1,Seasonal_Rainfall_mm,0.030733173464702845,5
RandomForest,2,Max_CDD_days,0.007968750770373585,8
RandomForest,2,Mean_RH_pct,0.017900197001727777,6
RandomForest,2,Mean_Solar_Radiation_MJ_m2_day,0.07605317500612754,2
RandomForest,2,Mean_Tmax_C,0.06166474440101716,3
RandomForest,2,Mean_Tmin_C,0.03913988648773673,4
RandomForest,2,Rainfall_Anomaly_Z_2000_2019,0.011757517147899705,7
RandomForest,2,Seasonal_GDD_C,0.1288165120258752,1
RandomForest,2,Seasonal_Rainfall_mm,0.028669174503287393,5
RandomForest,3,Max_CDD_days,0.009658289940804176,8
RandomForest,3,Mean_RH_pct,0.020759108231748025,7
RandomForest,3,Mean_Solar_Radiation_MJ_m2_day,0.13856788404805206,2
RandomForest,3,Mean_Tmax_C,0.05646619061428148,3
RandomForest,3,Mean_Tmin_C,0.04327049501543829,4
RandomForest,3,Rainfall_Anomaly_Z_2000_2019,0.02318374705454664,6
RandomForest,3,Seasonal_GDD_C,0.1463631948321009,1
RandomForest,3,Seasonal_Rainfall_mm,0.024101385806916283,5
RandomForest,4,Max_CDD_days,0.009391120797873754,8
RandomForest,4,Mean_RH_pct,0.024633502240803455,5
RandomForest,4,Mean_Solar_Radiation_MJ_m2_day,0.09049427006443915,2
RandomForest,4,Mean_Tmax_C,0.08732732471498449,3
RandomForest,4,Mean_Tmin_C,0.016718090211145984,7
RandomForest,4,Rainfall_Anomaly_Z_2000_2019,0.036181652542524464,4
RandomForest,4,Seasonal_GDD_C,0.14478964909664635,1
RandomForest,4,Seasonal_Rainfall_mm,0.02301545461448409,6
RandomForest,5,Max_CDD_days,0.009026024164978937,8
RandomForest,5,Mean_RH_pct,0.014631688900180418,6
RandomForest,5,Mean_Solar_Radiation_MJ_m2_day,0.06562261201149458,2
RandomForest,5,Mean_Tmax_C,0.05885060651652743,3
RandomForest,5,Mean_Tmin_C,0.014878140699303174,5
RandomForest,5,Rainfall_Anomaly_Z_2000_2019,0.01850702998224109,4
RandomForest,5,Seasonal_GDD_C,0.275851296662789,1
RandomForest,5,Seasonal_Rainfall_mm,0.014570458302434225,7
