Model,State,Year,Feature,Feature_Value,SHAP_Value,Absolute_SHAP
RandomForest,Abia,2024,Seasonal_Rainfall_mm,1356.55,0.004880630848974841,0.004880630848974841
RandomForest,Abia,2024,Seasonal_GDD_C,4627.7,-0.324760042803812,0.324760042803812
RandomForest,Abia,2024,Max_CDD_days,23.0,0.014715597408664112,0.014715597408664112
RandomForest,Abia,2024,Mean_Tmax_C,30.031090909090903,0.121182905115048,0.121182905115048
RandomForest,Abia,2024,Mean_Tmin_C,23.62490909090909,0.04893282439408159,0.04893282439408159
RandomForest,Abia,2024,Mean_RH_pct,87.19501818181817,-0.012707128915846036,0.012707128915846036
RandomForest,Abia,2024,Mean_Solar_Radiation_MJ_m2_day,15.994727272727271,0.027215047169784748,0.027215047169784748
RandomForest,Abia,2024,Rainfall_Anomaly_Z_2000_2019,-0.9196010910323762,-0.04260031405487661,0.04260031405487661
RandomForest,Adamawa,2024,Seasonal_Rainfall_mm,904.24,0.0034547110667213477,0.0034547110667213477
RandomForest,Adamawa,2024,Seasonal_GDD_C,3318.585,0.13635450798429774,0.13635450798429774
RandomForest,Adamawa,2024,Max_CDD_days,12.0,0.010096636107844042,0.010096636107844042
RandomForest,Adamawa,2024,Mean_Tmax_C,32.40342391304348,0.0706361005112951,0.0706361005112951
RandomForest,Adamawa,2024,Mean_Tmin_C,23.668152173913047,0.07499116791843073,0.07499116791843073
RandomForest,Adamawa,2024,Mean_RH_pct,72.47163043478261,0.013812892409444765,0.013812892409444765
RandomForest,Adamawa,2024,Mean_Solar_Radiation_MJ_m2_day,18.33570652173913,0.124553555463512,0.124553555463512
RandomForest,Adamawa,2024,Rainfall_Anomaly_Z_2000_2019,0.5051163098175504,-0.0002393695563427092,0.0002393695563427092
RandomForest,Akwa Ibom,2024,Seasonal_Rainfall_mm,1869.09,0.014882817200666774,0.014882817200666774
RandomForest,Akwa Ibom,2024,Seasonal_GDD_C,4694.005000000001,-0.3403448034827706,0.3403448034827706
RandomForest,Akwa Ibom,2024,Max_CDD_days,18.0,0.013591328319517247,0.013591328319517247
RandomForest,Akwa Ibom,2024,Mean_Tmax_C,29.75338181818182,0.12934769674184804,0.12934769674184804
RandomForest,Akwa Ibom,2024,Mean_Tmin_C,24.384836363636364,-0.007985893562892444,0.007985893562892444
RandomForest,Akwa Ibom,2024,Mean_RH_pct,87.72872727272728,-0.01270471462222987,0.01270471462222987
RandomForest,Akwa Ibom,2024,Mean_Solar_Radiation_MJ_m2_day,15.994727272727271,0.02433922397878577,0.02433922397878577
RandomForest,Akwa Ibom,2024,Rainfall_Anomaly_Z_2000_2019,-1.8894777114847496,-0.04009098981576046,0.04009098981576046
RandomForest,Anambra,2024,Seasonal_Rainfall_mm,1347.01,0.007602836664221781,0.007602836664221781
RandomForest,Anambra,2024,Seasonal_GDD_C,4641.875,-0.32824030682418964,0.32824030682418964
RandomForest,Anambra,2024,Max_CDD_days,21.0,0.013436452164554233,0.013436452164554233
RandomForest,Anambra,2024,Mean_Tmax_C,30.05850909090909,0.07946947692205268,0.07946947692205268
RandomForest,Anambra,2024,Mean_Tmin_C,23.700581818181817,0.028603809196460293,0.028603809196460293
RandomForest,Anambra,2024,Mean_RH_pct,86.4098909090909,-0.012034051493624938,0.012034051493624938
RandomForest,Anambra,2024,Mean_Solar_Radiation_MJ_m2_day,16.76098181818182,0.030481764385370622,0.030481764385370622
RandomForest,Anambra,2024,Rainfall_Anomaly_Z_2000_2019,-0.6683966152075341,-0.030027872867737275,0.030027872867737275
RandomForest,Bauchi,2024,Seasonal_Rainfall_mm,1085.11,0.00813796467993166,0.00813796467993166
RandomForest,Bauchi,2024,Seasonal_GDD_C,3200.24,0.09235381758643277,0.09235381758643277
RandomForest,Bauchi,2024,Max_CDD_days,16.0,0.044341186971280554,0.044341186971280554
RandomForest,Bauchi,2024,Mean_Tmax_C,31.968804347826087,0.04096936744784643,0.04096936744784643
RandomForest,Bauchi,2024,Mean_Tmin_C,22.816413043478263,0.04115771910101775,0.04115771910101775
RandomForest,Bauchi,2024,Mean_RH_pct,71.98304347826088,0.006728562741487193,0.006728562741487193
RandomForest,Bauchi,2024,Mean_Solar_Radiation_MJ_m2_day,19.371358695652173,0.01906676310089339,0.01906676310089339
RandomForest,Bauchi,2024,Rainfall_Anomaly_Z_2000_2019,2.0242342283357715,0.0073932446297364455,0.0073932446297364455
RandomForest,Bayelsa,2024,Seasonal_Rainfall_mm,1882.98,0.014390314052115414,0.014390314052115414
RandomForest,Bayelsa,2024,Seasonal_GDD_C,4720.065,-0.2995759882774382,0.2995759882774382
RandomForest,Bayelsa,2024,Max_CDD_days,21.0,0.013803673627884828,0.013803673627884828
RandomForest,Bayelsa,2024,Mean_Tmax_C,29.968800000000005,0.11715547152131713,0.11715547152131713
RandomForest,Bayelsa,2024,Mean_Tmin_C,24.358945454545456,-0.007210890698114453,0.007210890698114453
RandomForest,Bayelsa,2024,Mean_RH_pct,88.53152727272726,-0.011591622723803822,0.011591622723803822
RandomForest,Bayelsa,2024,Mean_Solar_Radiation_MJ_m2_day,14.644981818181815,0.06380297876043087,0.06380297876043087
RandomForest,Bayelsa,2024,Rainfall_Anomaly_Z_2000_2019,-0.5543351476094643,0.004704000500544679,0.004704000500544679
RandomForest,Benue,2024,Seasonal_Rainfall_mm,963.15,0.015198285765525028,0.015198285765525028
