Fold,State,Role
1,Abia,train
1,Akwa Ibom,train
1,Anambra,train
1,Bauchi,train
1,Bayelsa,train
1,Borno,train
1,Cross River,train
1,Delta,train
1,Ebonyi,train
1,Ekiti,train
1,Enugu,train
1,FCT,train
1,Gombe,train
1,Jigawa,train
1,Kaduna,train
1,Kano,train
1,Katsina,train
1,Kogi,train
1,Kwara,train
1,Lagos,train
1,Nasarawa,train
1,Ogun,train
1,Ondo,train
1,Osun,train
1,Oyo,train
1,Rivers,train
1,Sokoto,train
1,Taraba,train
1,Yobe,train
1,Adamawa,test
1,Benue,test
1,Edo,test
1,Imo,test
1,Kebbi,test
1,Niger,test
1,Plateau,test
1,Zamfara,test
2,Adamawa,train
2,Akwa Ibom,train
2,Anambra,train
2,Bauchi,train
2,Benue,train
2,Borno,train
2,Cross River,train
2,Delta,train
2,Edo,train
2,Ekiti,train
2,Enugu,train
2,FCT,train
2,Imo,train
2,Jigawa,train
2,Kaduna,train
2,Kano,train
2,Kebbi,train
2,Kogi,train
2,Kwara,train
2,Lagos,train
2,Niger,train
2,Ogun,train
2,Ondo,train
2,Osun,train
2,Plateau,train
2,Rivers,train
2,Sokoto,train
2,Taraba,train
2,Zamfara,train
2,Abia,test
2,Bayelsa,test
2,Ebonyi,test
2,Gombe,test
2,Katsina,test
2,Nasarawa,test
2,Oyo,test
2,Yobe,test
3,Abia,train
3,Adamawa,train
3,Akwa Ibom,train
3,Anambra,train
3,Bayelsa,train
3,Benue,train
3,Borno,train
3,Cross River,train
3,Ebonyi,train
3,Edo,train
3,Ekiti,train
3,Enugu,train
3,Gombe,train
3,Imo,train
3,Jigawa,train
3,Kaduna,train
3,Katsina,train
3,Kebbi,train
3,Kogi,train
3,Kwara,train
3,Nasarawa,train
3,Niger,train
3,Ogun,train
3,Ondo,train
3,Oyo,train
3,Plateau,train
3,Rivers,train
3,Sokoto,train
3,Yobe,train
3,Zamfara,train
3,Bauchi,test
3,Delta,test
3,FCT,test
3,Kano,test
3,Lagos,test
3,Osun,test
3,Taraba,test
4,Abia,train
4,Adamawa,train
4,Akwa Ibom,train
4,Bauchi,train
4,Bayelsa,train
4,Benue,train
4,Borno,train
4,Delta,train
4,Ebonyi,train
4,Edo,train
4,Ekiti,train
4,FCT,train
4,Gombe,train
4,Imo,train
4,Jigawa,train
4,Kano,train
4,Katsina,train
4,Kebbi,train
4,Kogi,train
4,Lagos,train
4,Nasarawa,train
4,Niger,train
4,Ogun,train
4,Osun,train
4,Oyo,train
4,Plateau,train
4,Rivers,train
4,Taraba,train
4,Yobe,train
4,Zamfara,train
4,Anambra,test
4,Cross River,test
4,Enugu,test
4,Kaduna,test
4,Kwara,test
4,Ondo,test
4,Sokoto,test
5,Abia,train
5,Adamawa,train
5,Anambra,train
5,Bauchi,train
5,Bayelsa,train
5,Benue,train
5,Cross River,train
5,Delta,train
5,Ebonyi,train
5,Edo,train
5,Enugu,train
5,FCT,train
5,Gombe,train
5,Imo,train
5,Kaduna,train
5,Kano,train
5,Katsina,train
5,Kebbi,train
5,Kwara,train
5,Lagos,train
5,Nasarawa,train
5,Niger,train
5,Ondo,train
5,Osun,train
5,Oyo,train
5,Plateau,train
5,Sokoto,train
5,Taraba,train
5,Yobe,train
5,Zamfara,train
5,Akwa Ibom,test
5,Borno,test
5,Ekiti,test
5,Jigawa,test
5,Kogi,test
5,Ogun,test
5,Rivers,test
