Outer_Fold,State,Role
1,Abia,fit
1,Akwa Ibom,fit
1,Anambra,fit
1,Bayelsa,fit
1,Borno,fit
1,Cross River,fit
1,Delta,fit
1,Ekiti,fit
1,Enugu,fit
1,FCT,fit
1,Gombe,fit
1,Kaduna,fit
1,Kano,fit
1,Katsina,fit
1,Kogi,fit
1,Lagos,fit
1,Nasarawa,fit
1,Ogun,fit
1,Ondo,fit
1,Oyo,fit
1,Rivers,fit
1,Sokoto,fit
1,Taraba,fit
1,Bauchi,calibration
1,Ebonyi,calibration
1,Jigawa,calibration
1,Kwara,calibration
1,Osun,calibration
1,Yobe,calibration
1,Adamawa,test
1,Benue,test
1,Edo,test
1,Imo,test
1,Kebbi,test
1,Niger,test
1,Plateau,test
1,Zamfara,test
2,Adamawa,fit
2,Akwa Ibom,fit
2,Anambra,fit
2,Benue,fit
2,Borno,fit
2,Cross River,fit
2,Delta,fit
2,Ekiti,fit
2,Enugu,fit
2,FCT,fit
2,Imo,fit
2,Kaduna,fit
2,Kano,fit
2,Kebbi,fit
2,Kogi,fit
2,Lagos,fit
2,Niger,fit
2,Ogun,fit
2,Ondo,fit
2,Plateau,fit
2,Rivers,fit
2,Sokoto,fit
2,Taraba,fit
2,Bauchi,calibration
2,Edo,calibration
2,Jigawa,calibration
2,Kwara,calibration
2,Osun,calibration
2,Zamfara,calibration
2,Abia,test
2,Bayelsa,test
2,Ebonyi,test
2,Gombe,test
2,Katsina,test
2,Nasarawa,test
2,Oyo,test
2,Yobe,test
3,Abia,fit
3,Adamawa,fit
3,Akwa Ibom,fit
3,Anambra,fit
3,Benue,fit
3,Borno,fit
3,Cross River,fit
3,Ebonyi,fit
3,Ekiti,fit
3,Enugu,fit
3,Gombe,fit
3,Imo,fit
3,Kaduna,fit
3,Katsina,fit
3,Kebbi,fit
3,Kogi,fit
3,Nasarawa,fit
3,Niger,fit
3,Ogun,fit
3,Ondo,fit
3,Plateau,fit
3,Rivers,fit
3,Sokoto,fit
3,Yobe,fit
3,Bayelsa,calibration
3,Edo,calibration
3,Jigawa,calibration
3,Kwara,calibration
3,Oyo,calibration
3,Zamfara,calibration
3,Bauchi,test
3,Delta,test
3,FCT,test
3,Kano,test
3,Lagos,test
3,Osun,test
3,Taraba,test
4,Abia,fit
4,Adamawa,fit
4,Akwa Ibom,fit
4,Bauchi,fit
4,Benue,fit
4,Borno,fit
4,Delta,fit
4,Ebonyi,fit
4,Ekiti,fit
4,FCT,fit
4,Gombe,fit
4,Imo,fit
4,Kano,fit
4,Katsina,fit
4,Kebbi,fit
4,Kogi,fit
4,Nasarawa,fit
4,Niger,fit
4,Ogun,fit
4,Osun,fit
4,Plateau,fit
4,Rivers,fit
4,Taraba,fit
4,Yobe,fit
4,Bayelsa,calibration
4,Edo,calibration
4,Jigawa,calibration
4,Lagos,calibration
4,Oyo,calibration
4,Zamfara,calibration
4,Anambra,test
4,Cross River,test
4,Enugu,test
4,Kaduna,test
4,Kwara,test
4,Ondo,test
4,Sokoto,test
5,Abia,fit
5,Adamawa,fit
5,Anambra,fit
5,Bauchi,fit
5,Benue,fit
5,Cross River,fit
5,Delta,fit
5,Ebonyi,fit
5,Enugu,fit
5,FCT,fit
5,Gombe,fit
5,Imo,fit
5,Kano,fit
5,Katsina,fit
5,Kebbi,fit
5,Kwara,fit
5,Nasarawa,fit
5,Niger,fit
5,Ondo,fit
5,Osun,fit
5,Plateau,fit
5,Sokoto,fit
5,Taraba,fit
5,Yobe,fit
5,Bayelsa,calibration
5,Edo,calibration
5,Kaduna,calibration
5,Lagos,calibration
5,Oyo,calibration
5,Zamfara,calibration
5,Akwa Ibom,test
5,Borno,test
5,Ekiti,test
5,Jigawa,test
5,Kogi,test
5,Ogun,test
5,Rivers,test
