Feature_Set,Model,Temporal_Delta_MAE,Temporal_Delta_R2,Spatial_Delta_MAE,Spatial_Delta_R2,Consistency_Class
Full,Ridge,0.0,0.0,0.0,0.0,Reference
Full,RandomForest,0.0,0.0,0.0,0.0,Reference
Full,LightGBM,0.0,0.0,0.0,0.0,Reference
Rainfall_Only,Ridge,0.0336182013679305,-0.1240335481974145,-0.0199184896216274,0.1470141390215941,Mixed
Rainfall_Only,RandomForest,0.0232811598536596,-0.121268247377961,0.0311882909069765,-0.1357292267106383,Worsened_Both
Rainfall_Only,LightGBM,0.0376117937721065,-0.1722523841075277,0.0149561143974153,-0.1333188045262749,Worsened_Both
Temperature_Only,Ridge,0.0297686792402326,-0.1417243695161351,-0.002646079924354,0.0469353916516726,Mixed
Temperature_Only,RandomForest,-0.0144773134598135,0.0297004536053268,0.0066430926783537,-0.0596401359093698,Mixed
Temperature_Only,LightGBM,-0.0305049021106556,0.0573216873737024,0.0025082579716942,-0.0206161065201832,Mixed
Atmospheric_Only,Ridge,0.0420651708299566,-0.1976953297540234,-0.005804769024915,0.0803066856029423,Mixed
Atmospheric_Only,RandomForest,0.0420657896957892,-0.1990373252894449,0.0416831761783852,-0.2209508164863351,Worsened_Both
Atmospheric_Only,LightGBM,0.0730971191829168,-0.3080897783819153,0.0277207685170001,-0.1300462163563712,Worsened_Both
No_Rainfall_Anomaly,Ridge,-0.0022654251863061,-0.0038033304402971,-0.0090754993327658,0.0843580181443822,Mixed
No_Rainfall_Anomaly,RandomForest,0.0030404733104734,-0.0098139997447121,0.0004369936838294,-0.0124001986428115,Worsened_Both
No_Rainfall_Anomaly,LightGBM,0.0089118173303524,-0.0511031549215692,0.0027051992522448,-0.0406802918467353,Worsened_Both
No_RH,Ridge,0.0169876068168275,-0.0294424570499683,0.0216960383146179,-0.1301897648545851,Worsened_Both
No_RH,RandomForest,0.0051730758680758,-0.0078844976550565,-0.0020077334278816,0.0088896643024561,Mixed
No_RH,LightGBM,0.0204835607826686,-0.0735890236975032,0.0010973454708418,0.0065360285170073,Mixed
No_GDD,Ridge,-0.0075732881235088,-0.0219087073432706,0.0098150494380865,-0.0695248672839442,Mixed
No_GDD,RandomForest,0.0255953657603654,-0.1026219028925682,0.0243649733209911,-0.1252229628625221,Worsened_Both
No_GDD,LightGBM,0.0568263116124503,-0.1867666299970626,0.0162344399970813,-0.0930929653777052,Worsened_Both
No_Temperature_Pair,Ridge,0.013639695936813,-0.0684223743883591,-0.0028618025049484,0.031381298079379,Mixed
No_Temperature_Pair,RandomForest,0.0155109798834799,-0.0691281623355594,0.0215618978459372,-0.0818185834648059,Worsened_Both
No_Temperature_Pair,LightGBM,0.0374289962254253,-0.0851170155864673,0.014455057282169,-0.0401815779352064,Worsened_Both
