Model,Feature,Temporal_Mean_Abs_SHAP,Temporal_Rank,Spatial_Mean_Abs_SHAP,Spatial_Rank,Mean_Rank,Rank_SD,Best_Rank,Worst_Rank,Temporal_Spatial_Rank_Difference
RandomForest,Seasonal_GDD_C,0.2206753079053199,1,0.1724249102659574,1,1.0,0.0,1,1,0
RandomForest,Mean_Solar_Radiation_MJ_m2_day,0.1164355819370456,2,0.0854076743070676,2,2.0,0.0,2,2,0
RandomForest,Mean_Tmax_C,0.0746291389060563,3,0.0612169802639223,3,3.0,0.0,3,3,0
RandomForest,Mean_Tmin_C,0.0426628270689153,4,0.0317798034777506,4,4.8,1.3038404810405295,4,7,0
RandomForest,Max_CDD_days,0.0186592716186848,5,0.0085805257340943,8,8.0,0.0,8,8,3
RandomForest,Mean_RH_pct,0.0164732059758036,6,0.0202842122799771,6,6.0,0.7071067811865476,5,7,0
RandomForest,Rainfall_Anomaly_Z_2000_2019,0.0152576054742399,7,0.0202281663037456,7,5.6,1.51657508881031,4,7,0
RandomForest,Seasonal_Rainfall_mm,0.0100569211135576,8,0.0245143209408314,5,5.6,0.894427190999916,5,7,3
LightGBM,Seasonal_GDD_C,0.1901268601624373,1,0.1549077948704503,1,1.2,0.4472135954999579,1,2,0
LightGBM,Mean_Solar_Radiation_MJ_m2_day,0.0937599167723331,2,0.0822886934973401,2,2.8,1.6431676725154984,1,5,0
LightGBM,Mean_Tmax_C,0.0902223883462626,3,0.0702087405990329,3,3.0,1.0,2,4,0
LightGBM,Rainfall_Anomaly_Z_2000_2019,0.0467869399421886,4,0.0412722120265949,5,5.6,1.51657508881031,3,7,1
LightGBM,Mean_Tmin_C,0.0439735953774745,5,0.0599476217095996,4,3.8,1.3038404810405295,3,6,1
LightGBM,Max_CDD_days,0.0308259378413571,6,0.0252645825465695,8,7.2,1.3038404810405295,5,8,2
LightGBM,Mean_RH_pct,0.0272545674752617,7,0.034069317451458,7,6.4,1.816590212458495,4,8,0
LightGBM,Seasonal_Rainfall_mm,0.0238514656526823,8,0.0356689484057867,6,6.0,1.0,5,7,2
