Model,Scenario,Scenario_Type,Temperature_Shift_C,Rainfall_Shift_pct,Mean_Yield_Change_MT_Ha,Median_Yield_Change_MT_Ha,Q25_Yield_Change_MT_Ha,Q75_Yield_Change_MT_Ha,Min_Yield_Change_MT_Ha,Max_Yield_Change_MT_Ha,Mean_Yield_Change_pct,Median_Yield_Change_pct
LightGBM,T+0_R-10,Drought,0.0,-10.0,-0.013371499749374955,-0.001129585892137186,-0.0410841718206445,0.020834725921200947,-0.1899456096011909,0.11258693212481496,-0.5897985141701957,-0.0619174652201999
LightGBM,T+0_R-20,Drought,0.0,-20.0,-0.04164543986143777,-0.025994464428167774,-0.07849428746339604,0.0016484001966747819,-0.2527848782682698,0.07191014817596342,-1.9811239878458686,-0.9617126221196678
LightGBM,T+0_R-30,Drought,0.0,-30.0,-0.06240660782703213,-0.048275911814283035,-0.12247374561643865,-0.006935371787936129,-0.20196368536124853,0.0478271477302068,-2.783504963829718,-2.2666605215115254
LightGBM,T+0_R0,Baseline,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LightGBM,T+1_R-10,Compound,1.0,-10.0,0.009675924800714079,-0.004465525310677565,-0.11586094395709878,0.04647167993013279,-0.23484193210385418,0.5132237313405517,0.49367872957247183,-0.2287567006823193
LightGBM,T+1_R-20,Compound,1.0,-20.0,-0.017589451679674538,-0.01721464177815024,-0.11586094395709878,0.04009455968158582,-0.4111998614760537,0.4361912866511841,-0.8700047970104932,-0.6368870699015425
LightGBM,T+1_R-30,Compound,1.0,-30.0,-0.04419521072000503,-0.08395708708954785,-0.1266077814297648,0.014729773138158375,-0.39456336099342404,0.3619817992233574,-1.964614285509617,-3.093148842361369
LightGBM,T+1_R0,Heat,1.0,0.0,0.02773231561331688,0.0010378124233063613,-0.04887675830906191,0.09362875336672172,-0.17763855952051877,0.42772282723167976,1.345801537798577,0.05788134454301017
LightGBM,T+2_R-10,Compound,2.0,-10.0,0.005801887606186561,0.011035107816152578,-0.133693680158661,0.1254484163872991,-0.5874230496494866,0.4690933380707669,0.44169426037521514,0.48853470024772083
LightGBM,T+2_R-20,Compound,2.0,-20.0,-0.021460546095137756,0.0005985971661586209,-0.1844612675085575,0.11757601187839706,-0.5874230496494866,0.40869569721838506,-0.9275520192003608,0.03338523228168055
