Model,Scenario,Scenario_Type,Temperature_Shift_C,Rainfall_Shift_pct,Mean_Yield_Change_MT_Ha,Median_Yield_Change_MT_Ha,Q25_Yield_Change_MT_Ha,Q75_Yield_Change_MT_Ha,Min_Yield_Change_MT_Ha,Max_Yield_Change_MT_Ha,Mean_Yield_Change_pct,Median_Yield_Change_pct
LightGBM,T+0_R-10,Drought,0.0,-10.0,-0.011583648924708185,-0.001129585892137186,-0.0410841718206445,0.020834725921200947,-0.1899456096011909,0.11258693212481496,-0.5086024692146534,-0.0619174652201999
LightGBM,T+0_R-20,Drought,0.0,-20.0,-0.041235758056204934,-0.036971051382064024,-0.07849428746339604,0.0016484001966747819,-0.21084362715106053,0.07191014817596342,-1.9515249521957163,-1.3442236339195501
LightGBM,T+0_R-30,Drought,0.0,-30.0,-0.06150135346510716,-0.048275911814283035,-0.11959285674097542,-0.009063970803493415,-0.19662596121684728,0.0478271477302068,-2.735356839415544,-2.2666605215115254
LightGBM,T+0_R0,Baseline,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LightGBM,T+1_R-10,Compound,1.0,-10.0,0.01089746060250379,-0.004465525310677565,-0.11586094395709878,0.04647167993013279,-0.18964510743763485,0.5132237313405517,0.5491553244362567,-0.2287567006823193
LightGBM,T+1_R-20,Compound,1.0,-20.0,-0.01772109340188986,-0.01721464177815024,-0.11586094395709878,0.04009455968158582,-0.3699870193373216,0.4361912866511841,-0.8643433875379035,-0.6368870699015425
LightGBM,T+1_R-30,Compound,1.0,-30.0,-0.04383127988552824,-0.08395708708954785,-0.1266077814297648,0.014729773138158375,-0.35335051885469193,0.3619817992233574,-1.9404037872730076,-3.093148842361369
LightGBM,T+1_R0,Heat,1.0,0.0,0.02773231561331688,0.0010378124233063613,-0.04887675830906191,0.09362875336672172,-0.17763855952051877,0.42772282723167976,1.345801537798577,0.05788134454301017
LightGBM,T+2_R-10,Compound,2.0,-10.0,0.007023423407976291,0.011035107816152578,-0.133693680158661,0.1254484163872991,-0.5874230496494866,0.4690933380707669,0.4971708552390009,0.48853470024772083
LightGBM,T+2_R-20,Compound,2.0,-20.0,-0.02290306574029535,0.0005985971661586209,-0.1844612675085575,0.09904852656035534,-0.5874230496494866,0.40869569721838506,-0.9694283726125359,0.03338523228168055
LightGBM,T+2_R-30,Compound,2.0,-30.0,-0.04828605297115757,-0.04954913308471598,-0.16049557811666415,0.08409214251778785,-0.5965588853604409,0.34650786849556026,-2.0094868274091704,-1.9401612178481635
LightGBM,T+2_R0,Heat,2.0,0.0,0.019452432247633655,0.012164693708289764,-0.11849498531780966,0.13679464936581565,-0.5685293719993103,0.3982756021401097,1.139138004682885,0.6667992269028272
RandomForest,T+0_R-10,Drought,0.0,-10.0,-0.010165144577644622,-0.0019527513227517446,-0.014774149831650263,0.0019723677248673077,-0.07769884078884126,0.018636732804232947,-0.5032289484467303,-0.09731440349723829
RandomForest,T+0_R-20,Drought,0.0,-20.0,-0.023480339850340003,-0.015638316035816224,-0.02751706108706098,-0.005904802789801877,-0.09593006687756733,0.00616246031745904,-1.1394365631615406,-0.7283175848823688
RandomForest,T+0_R-30,Drought,0.0,-30.0,-0.02570214350464369,-0.017615820105820745,-0.035394351851852246,-0.009975436507936752,-0.09674343989344059,0.01563309523809364,-1.2452557958062158,-0.9276972095937639
RandomForest,T+0_R0,Baseline,0.0,0.0,-1.200241107702872e-17,0.0,-4.440892098500626e-16,0.0,-4.440892098500626e-16,8.881784197001252e-16,-8.504362272033426e-16,0.0
RandomForest,T+1_R-10,Compound,1.0,-10.0,-0.018392925250425452,-0.006028191438191222,-0.074957261349762,0.008209413179414149,-0.27649109113109294,0.3719568080993074,-0.8433765639469873,-0.33452536446705866
RandomForest,T+1_R-20,Compound,1.0,-20.0,-0.031780964420964675,-0.02044877899877906,-0.0876985355385358,-0.005187882950383305,-0.2793310117660137,0.3717108424908422,-1.4917041005458151,-1.094446648392161
RandomForest,T+1_R-30,Compound,1.0,-30.0,-0.0346632059582061,-0.023085621693121894,-0.08493782125282134,-0.006249564694563947,-0.2793310117660128,0.361160181115181,-1.621171806001038,-1.1379794857888355
RandomForest,T+1_R0,Heat,1.0,0.0,-0.004548594773595069,-0.0043549074074071825,-0.05918615440115449,0.02658956413956326,-0.2125890625115634,0.36339908628408546,-0.15093808732173733,-0.22893392387066794
RandomForest,T+2_R-10,Compound,2.0,-10.0,-0.02212836986336998,-0.011908086265587592,-0.08539222582972616,0.06355799959300112,-0.38537392126392334,0.34411146418396354,-0.9453182809768281,-0.6115812119485872
RandomForest,T+2_R-20,Compound,2.0,-20.0,-0.034189097244097355,-0.02044877899877906,-0.09739886317386359,0.06266941493691691,-0.3861364609464628,0.3420773239723238,-1.5332452014756976,-1.094446648392161
RandomForest,T+2_R-30,Compound,2.0,-30.0,-0.03676799508049513,-0.031092387519887854,-0.09821223618973685,0.051533432493432896,-0.38613646094646237,0.3298379588929583,-1.649561219873309,-1.5000074465407742
RandomForest,T+2_R0,Heat,2.0,0.0,-0.009364364514364615,-0.0043549074074071825,-0.09036821373071335,0.0682104033929043,-0.33049926036926247,0.3305089010989013,-0.3001518653699174,-0.22893392387066794
Ridge,T+0_R-10,Drought,0.0,-10.0,0.0019011161639955903,-0.00043589848983227597,-0.00713362954853336,0.006280591472799024,-0.04597522590501679,0.07173521199610788,0.12601122555891353,-0.021328769823261626
Ridge,T+0_R-20,Drought,0.0,-20.0,0.0015506446685268078,-0.00017474391993399507,-0.012887081099418829,0.012561182945598048,-0.09195045181003358,0.08098886644207637,0.12570858650712027,-0.007762712195596472
Ridge,T+0_R-30,Drought,0.0,-30.0,0.001950702392879491,0.0016335565808986985,-0.0193306216491278,0.027526326634769394,-0.13792567771505038,0.0971849161713938,0.16572801486435357,0.07385992549201781
Ridge,T+0_R0,Baseline,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ridge,T+1_R-10,Compound,1.0,-10.0,0.0382157320278725,0.0396586857702248,0.028112394454023804,0.044159377460348814,0.007262674005748426,0.09254243610387225,1.7890077806626548,1.7673476316759775
Ridge,T+1_R-20,Compound,1.0,-20.0,0.03786526053240368,0.03675190395516115,0.02590626977914523,0.04363550604795652,-0.038712551899268366,0.11984571116306864,1.78870514161086,1.6944057063673763
Ridge,T+1_R-30,Compound,1.0,-30.0,0.03826531825675632,0.03439582744949288,0.024008314995127567,0.05229059790703339,-0.08468777780428516,0.11799214027915816,1.8287245699680912,1.602664901127245
Ridge,T+1_R0,Heat,1.0,0.0,0.036314615863876874,0.042546468327357534,0.020807224107764366,0.05323789991076522,0.020807224107763478,0.05323789991076566,1.6629965551037398,1.8879030325132815
Ridge,T+2_R-10,Compound,2.0,-10.0,0.07453034789174956,0.08247438704545207,0.049134747222685515,0.09739727737111448,0.03979019147827456,0.11334966021163506,3.452004335766403,3.7352090269771945
Ridge,T+2_R-20,Compound,2.0,-20.0,0.07417987639628074,0.07441451527800069,0.054175631161126336,0.08831875492069852,0.014525348011496853,0.1730836110738334,3.4517016967146072,3.4231558076508692
Ridge,T+2_R-30,Compound,2.0,-30.0,0.07457993412063334,0.07651561724639988,0.054231526740945224,0.08672649323561421,-0.03144987789351994,0.1647331449998921,3.4917211250718383,3.49029504203134
Ridge,T+2_R0,Heat,2.0,0.0,0.07262923172775393,0.08509293665471596,0.04161444821552829,0.10647579982153044,0.041614448215526956,0.10647579982153088,3.3259931102074876,3.775806065026622
