Feature_Set,Feature_Count,Fold,Model,Test_State_Count,Test_Size,MAE,RMSE,R2,Mean_Error
Full,8,1,Ridge,8,40,0.4205544201612523,0.5535580364807696,-0.24665256710542782,-0.11641338058647503
Full,8,1,RandomForest,8,40,0.3518166574004701,0.44113398656539005,0.20830089734003665,-0.05065504056822754
Full,8,1,LightGBM,8,40,0.3692441326326118,0.45754409920938444,0.14830316598536952,-0.04519366399610346
Full,8,2,Ridge,8,40,0.41469267706178525,0.46757009586286213,-0.23301972039979502,0.24226126773147555
Full,8,2,RandomForest,8,40,0.3302863605954228,0.40552293643775794,0.07251389136802011,0.22036728561022306
Full,8,2,LightGBM,8,40,0.3369869609267817,0.4158306078292109,0.0247645629160268,0.19712652084343074
Full,8,3,Ridge,7,35,0.4080704815624607,0.5117013168832946,-0.5042952068370343,-0.00029059497798309406
Full,8,3,RandomForest,7,35,0.3097459192077762,0.44253429054773713,-0.12510708424225947,-0.07451322535665383
Full,8,3,LightGBM,7,35,0.34493747887065856,0.45969329019153715,-0.21404932504184782,-0.07750799815868203
Full,8,4,Ridge,7,35,0.4064268585818569,0.48338688275114894,-0.6901938101526324,-0.25006124008658004
Full,8,4,RandomForest,7,35,0.36921278567728544,0.43084327471573214,-0.3427198858795868,-0.24702752769188505
Full,8,4,LightGBM,7,35,0.40896994570711476,0.471181267940302,-0.6059159723961431,-0.29268757766783743
Full,8,5,Ridge,7,35,0.33195447240709586,0.4131658847053004,0.08465441646487248,0.15864287501179644
Full,8,5,RandomForest,7,35,0.40963125695204256,0.46677391111435856,-0.16828642548155748,0.22784757463436017
Full,8,5,LightGBM,7,35,0.387724892420021,0.45083670247566376,-0.08987003136043015,0.19481256083708698
Rainfall_Only,3,1,Ridge,8,40,0.43289905724491246,0.5523690547387573,-0.24130297341704976,-0.1637418908781219
Rainfall_Only,3,1,RandomForest,8,40,0.36839531221787436,0.4997443377397071,-0.016049530637752163,-0.13236621040302224
Rainfall_Only,3,1,LightGBM,8,40,0.34192556041804484,0.4806331137185697,0.0601760835892573,-0.11856962078707803
Rainfall_Only,3,2,Ridge,8,40,0.41969639871454073,0.46990704247371656,-0.24537595211890872,0.2484889673875116
Rainfall_Only,3,2,RandomForest,8,40,0.4408029173257296,0.4998425312471236,-0.4091037869194034,0.3119049405756277
Rainfall_Only,3,2,LightGBM,8,40,0.42452930524947535,0.49418424275433004,-0.37738184712683487,0.29228595998276613
Rainfall_Only,3,3,Ridge,7,35,0.35380964322044406,0.43516771750966976,-0.08796103812964429,-0.006975978198471695
Rainfall_Only,3,3,RandomForest,7,35,0.38637309279080684,0.4774203314250826,-0.30948890252079364,0.05548198178541026
Rainfall_Only,3,3,LightGBM,7,35,0.4269700608432147,0.5346742551468331,-0.6423985335520648,0.06415786921698854
Rainfall_Only,3,4,Ridge,7,35,0.32211836144087425,0.4223809103434572,-0.29049209421490807,-0.20217868954588095
Rainfall_Only,3,4,RandomForest,7,35,0.38431956314320576,0.4520350516357871,-0.4780564085991912,-0.22952738993017552
Rainfall_Only,3,4,LightGBM,7,35,0.38444569477387036,0.4605519917000047,-0.5342781993029919,-0.25647619020256834
Rainfall_Only,3,5,Ridge,7,35,0.3535830010455427,0.4295332829747532,0.010695864958464196,0.13892620219826846
Rainfall_Only,3,5,RandomForest,7,35,0.34674354889026326,0.39135291444673187,0.17875388822860194,0.10042556206756215
Rainfall_Only,3,5,LightGBM,7,35,0.34477336125965935,0.4118397647289495,0.09052087386423502,0.10101401596054449
Temperature_Only,3,1,Ridge,8,40,0.4594101512293632,0.5973906262702937,-0.4518973842469176,-0.13362001812542434
Temperature_Only,3,1,RandomForest,8,40,0.343153873374311,0.4405410006492908,0.2104279194980726,-0.012707730133292483
Temperature_Only,3,1,LightGBM,8,40,0.37373149775392484,0.45837790457604505,0.14519615854073753,-0.027076248495888917
Temperature_Only,3,2,Ridge,8,40,0.4107066740459818,0.46472159604738567,-0.21804203937164846,0.23539598300367343
Temperature_Only,3,2,RandomForest,8,40,0.33220849959531246,0.4083531431829946,0.059522579340624215,0.20709980934112232
Temperature_Only,3,2,LightGBM,8,40,0.3525082176788164,0.4365248704525421,-0.0747180722796108,0.2098502263487619
Temperature_Only,3,3,Ridge,7,35,0.41366459339754413,0.5216727795441471,-0.5634944890055171,-0.005970831643975576
Temperature_Only,3,3,RandomForest,7,35,0.33489219474176635,0.4718540845646042,-0.27913222466686793,-0.18001564639064646
Temperature_Only,3,3,LightGBM,7,35,0.34626211424627784,0.4809056602568443,-0.3286781095569089,-0.19493117086226813
Temperature_Only,3,4,Ridge,7,35,0.29400738162929024,0.36968550181598514,0.01142044976340606,-0.17920240389026304
Temperature_Only,3,4,RandomForest,7,35,0.35962972323972303,0.42237404644470494,-0.29045015228577986,-0.22712837630094768
Temperature_Only,3,4,LightGBM,7,35,0.3676918947733524,0.4255510779129997,-0.3099362916755559,-0.2202174341576371
Temperature_Only,3,5,Ridge,7,35,0.39067970985050143,0.4596335122340633,-0.13281646691097726,0.13757091936326638
Temperature_Only,3,5,RandomForest,7,35,0.4340241522736528,0.5024813833267172,-0.35386740832824515,0.2708402060558492
Temperature_Only,3,5,LightGBM,7,35,0.42021097596328794,0.48699697404106473,-0.2717118175266029,0.2738624474402245
Atmospheric_Only,2,1,Ridge,8,40,0.452190843298514,0.5740793020843227,-0.3407965796570347,-0.1827801577155253
Atmospheric_Only,2,1,RandomForest,8,40,0.40837764283633016,0.5203001946298402,-0.10135440213059765,-0.1535504214419837
Atmospheric_Only,2,1,LightGBM,8,40,0.4296220827582273,0.533931254192313,-0.15981788690373389,-0.1556197225385842
Atmospheric_Only,2,2,Ridge,8,40,0.4328045633310925,0.4850940639902835,-0.32717590447367395,0.2535870066928134
Atmospheric_Only,2,2,RandomForest,8,40,0.36407892666130176,0.4317398336951715,-0.051285822245915824,0.230393802646428
Atmospheric_Only,2,2,LightGBM,8,40,0.3616705612558933,0.42303576206966653,-0.009324309328863745,0.2173289559415786
Atmospheric_Only,2,3,Ridge,7,35,0.3409177608806991,0.42457372435952956,-0.0356338314881961,-0.040420277096604604
Atmospheric_Only,2,3,RandomForest,7,35,0.38111067077367033,0.48056167908253106,-0.3267780412533834,-0.015442673146959393
Atmospheric_Only,2,3,LightGBM,7,35,0.40228465987979306,0.5044645011718148,-0.4620466286843732,0.0032849929037731063
Atmospheric_Only,2,4,Ridge,7,35,0.3270680294965264,0.4147575363903104,-0.24432938419764327,-0.179395991200847
Atmospheric_Only,2,4,RandomForest,7,35,0.39910888552981455,0.4824723864889203,-0.6838046676989462,-0.17850984163719913
Atmospheric_Only,2,4,LightGBM,7,35,0.39324253606050963,0.4705289844665986,-0.6014727253736107,-0.18867314807084012
Atmospheric_Only,2,5,Ridge,7,35,0.3996938676430441,0.480894006303738,-0.24003776019875778,0.15495485597766617
Atmospheric_Only,2,5,RandomForest,7,35,0.4264327349238064,0.4917828649567103,-0.2968297559981796,0.09211370877535154
Atmospheric_Only,2,5,LightGBM,7,35,0.39964741318776525,0.4639789119209141,-0.15433713138829952,0.10662501874287338
No_Rainfall_Anomaly,7,1,Ridge,8,40,0.4253398740971873,0.5549529928672426,-0.25294356823867803,-0.11835239475962109
No_Rainfall_Anomaly,7,1,RandomForest,8,40,0.36278733686683695,0.45034175511609015,0.17490577495304271,-0.05218690041440022
No_Rainfall_Anomaly,7,1,LightGBM,8,40,0.388703132311169,0.4833587820337033,0.04948638391776172,-0.048310325988935726
No_Rainfall_Anomaly,7,2,Ridge,8,40,0.41521711863567584,0.4693740299113944,-0.24255231044218784,0.2304455146487987
No_Rainfall_Anomaly,7,2,RandomForest,8,40,0.33020828225940696,0.41236682100155964,0.040943932732494526,0.22240867380304885
No_Rainfall_Anomaly,7,2,LightGBM,8,40,0.3630354592523643,0.4520864656280423,-0.15270872053994244,0.2021440387527381
No_Rainfall_Anomaly,7,3,Ridge,7,35,0.3798839161604563,0.4844064307589441,-0.3480928410814874,-0.01182499325569205
No_Rainfall_Anomaly,7,3,RandomForest,7,35,0.3079218833547404,0.4406012671629759,-0.11529944502675349,-0.1013137588020443
