Outer_Fold,Model,Fit_State_Count,Calibration_State_Count,Test_State_Count,Calibration_Size,Test_Size,Calibration_qhat,MAE,RMSE,R2,Mean_Error,Coverage,Mean_Interval_Width,Median_Interval_Width,Min_Interval_Width,Max_Interval_Width
1,Ridge,23,6,8,30,40,0.8191133870498881,0.45940246575881627,0.5870111025674523,-0.40188292553540106,-0.00038570404428727725,0.85,1.6382267740997762,1.638226774099776,1.638226774099776,1.6382267740997765
1,RandomForest,23,6,8,30,40,0.7739393915343937,0.39607598307221115,0.48904526542353965,0.026990158864052094,0.02190774241988948,0.85,1.5478787830687875,1.5478787830687875,1.5478787830687872,1.5478787830687877
1,LightGBM,23,6,8,30,40,0.7761233305049844,0.4394497019698325,0.5196026911880155,-0.09840347657357107,0.016552165756291443,0.825,1.5522466610099688,1.5522466610099688,1.5522466610099686,1.552246661009969
2,Ridge,23,6,8,30,40,1.0898009237891053,0.48091629289672033,0.5303897086187663,-0.586597424840106,0.35812048107772404,1.0,2.1796018475782106,2.17960184757821,2.17960184757821,2.179601847578211
2,RandomForest,23,6,8,30,40,1.0072327152477158,0.408923344495782,0.47521459334629435,-0.2736676126543034,0.36201648537804776,1.0,2.0144654304954317,2.0144654304954317,2.0144654304954317,2.0144654304954317
2,LightGBM,23,6,8,30,40,1.0233831505245679,0.4421192253081664,0.509103052468977,-0.4618000407951788,0.3891458124789022,1.0,2.0467663010491357,2.0467663010491357,2.0467663010491357,2.0467663010491357
3,Ridge,24,6,7,30,35,0.7494865350963116,0.3626920495275825,0.4752545921221061,-0.29763528487931934,0.06390436198517092,0.8571428571428571,1.4989730701926234,1.498973070192623,1.4989730701926227,1.4989730701926236
3,RandomForest,24,6,7,30,35,0.637016346153847,0.34249591543112984,0.44379241757332577,-0.13151354735903098,0.02586164695886145,0.8571428571428571,1.2740326923076937,1.274032692307694,1.2740326923076937,1.2740326923076941
3,LightGBM,24,6,7,30,35,0.6344875508712926,0.34444999919385133,0.4518480637401275,-0.17296446021313416,0.011029255925063377,0.8285714285714286,1.268975101742585,1.2689751017425852,1.268975101742585,1.2689751017425854
4,Ridge,24,6,7,30,35,0.6911245789459826,0.38675084032595014,0.44721994536358994,-0.4467354157001777,-0.1970410920555597,0.8857142857142857,1.382249157891965,1.3822491578919651,1.382249157891965,1.3822491578919653
4,RandomForest,24,6,7,30,35,0.7390343650793649,0.35251312777434257,0.41899965254993055,-0.26991341283624815,-0.22897829171622044,0.9428571428571428,1.47806873015873,1.4780687301587299,1.4780687301587296,1.47806873015873
4,LightGBM,24,6,7,30,35,0.6495910551636324,0.3848431039918756,0.44333044389474113,-0.4216801379070976,-0.24753749855606025,0.9142857142857143,1.2991821103272647,1.2991821103272647,1.2991821103272645,1.299182110327265
5,Ridge,24,6,7,30,35,0.7826498231872019,0.37301744754632804,0.462952055686268,-0.14923333644222203,0.23273053689849063,0.9142857142857143,1.565299646374404,1.565299646374404,1.5652996463744036,1.565299646374404
5,RandomForest,24,6,7,30,35,0.7556154521404519,0.4373973759468049,0.5195234515183731,-0.44725978566426416,0.2921602055193485,0.8285714285714286,1.511230904280904,1.5112309042809038,1.5112309042809036,1.511230904280904
5,LightGBM,24,6,7,30,35,0.7491320308979548,0.37992276950051984,0.4504389687746278,-0.08794788602929815,0.25642953800071083,0.9714285714285714,1.4982640617959093,1.4982640617959095,1.4982640617959093,1.4982640617959095
