Fold,Model,Train_State_Count,Test_State_Count,Test_States,MAE,RMSE,R2,Mean_Error
1,Ridge,29,8,Adamawa;Benue;Edo;Imo;Kebbi;Niger;Plateau;Zamfara,0.4205544201612523,0.5535580364807696,-0.24665256710542782,-0.11641338058647503
1,RandomForest,29,8,Adamawa;Benue;Edo;Imo;Kebbi;Niger;Plateau;Zamfara,0.3518166574004701,0.44113398656539005,0.20830089734003665,-0.05065504056822747
1,LightGBM,29,8,Adamawa;Benue;Edo;Imo;Kebbi;Niger;Plateau;Zamfara,0.3692441326326118,0.45754409920938444,0.14830316598536952,-0.04519366399610346
2,Ridge,29,8,Abia;Bayelsa;Ebonyi;Gombe;Katsina;Nasarawa;Oyo;Yobe,0.41469267706178525,0.46757009586286213,-0.23301972039979502,0.24226126773147555
2,RandomForest,29,8,Abia;Bayelsa;Ebonyi;Gombe;Katsina;Nasarawa;Oyo;Yobe,0.3302863605954228,0.40552293643775794,0.07251389136802,0.220367285610223
2,LightGBM,29,8,Abia;Bayelsa;Ebonyi;Gombe;Katsina;Nasarawa;Oyo;Yobe,0.3369869609267817,0.4158306078292109,0.0247645629160268,0.19712652084343074
3,Ridge,30,7,Bauchi;Delta;FCT;Kano;Lagos;Osun;Taraba,0.4080704815624607,0.5117013168832946,-0.5042952068370343,-0.00029059497798309406
3,RandomForest,30,7,Bauchi;Delta;FCT;Kano;Lagos;Osun;Taraba,0.30974591920777633,0.44253429054773724,-0.12510708424226014,-0.07451322535665375
3,LightGBM,30,7,Bauchi;Delta;FCT;Kano;Lagos;Osun;Taraba,0.34493747887065856,0.45969329019153715,-0.21404932504184782,-0.07750799815868203
4,Ridge,30,7,Anambra;Cross River;Enugu;Kaduna;Kwara;Ondo;Sokoto,0.4064268585818569,0.48338688275114894,-0.6901938101526324,-0.25006124008658004
4,RandomForest,30,7,Anambra;Cross River;Enugu;Kaduna;Kwara;Ondo;Sokoto,0.36921278567728555,0.4308432747157322,-0.34271988587958724,-0.247027527691885
4,LightGBM,30,7,Anambra;Cross River;Enugu;Kaduna;Kwara;Ondo;Sokoto,0.40896994570711476,0.471181267940302,-0.6059159723961431,-0.29268757766783743
5,Ridge,30,7,Akwa Ibom;Borno;Ekiti;Jigawa;Kogi;Ogun;Rivers,0.33195447240709586,0.4131658847053004,0.08465441646487248,0.15864287501179644
5,RandomForest,30,7,Akwa Ibom;Borno;Ekiti;Jigawa;Kogi;Ogun;Rivers,0.40963125695204256,0.4667739111143585,-0.16828642548155748,0.22784757463436023
5,LightGBM,30,7,Akwa Ibom;Borno;Ekiti;Jigawa;Kogi;Ogun;Rivers,0.387724892420021,0.45083670247566376,-0.08987003136043015,0.19481256083708698
