Feature_Set,Feature_Count,Model,MAE,RMSE,R2,Mean_Error
Full,8,Ridge,0.38183957390428125,0.4812051169594057,0.08955521050045745,-0.07042536229789113
Full,8,RandomForest,0.3633061806811808,0.4628488544080394,0.15769083259502004,-0.05171220182220225
Full,8,LightGBM,0.36101366525166045,0.46703978097628945,0.1423681737400474,-0.04856780600985273
Rainfall_Only,3,Ridge,0.4154577752722118,0.5129371209715892,-0.03447833769695707,-0.13983398610342498
Rainfall_Only,3,RandomForest,0.3865873405348405,0.495047344749934,0.03642258521705899,-0.13152155180405173
Rainfall_Only,3,LightGBM,0.398625459023767,0.5117968744854948,-0.029884210367480346,-0.15243595211177832
Temperature_Only,3,Ridge,0.41160825314451394,0.5173044487246822,-0.052169159015677646,-0.17788763992676995
Temperature_Only,3,RandomForest,0.3488288672213673,0.45461542480161105,0.18739128620034684,-0.07347365039115013
Temperature_Only,3,LightGBM,0.3305087631410048,0.45116207859430246,0.19968986111374987,-0.067655548869384
Atmospheric_Only,2,Ridge,0.4239047447342379,0.5308853838258473,-0.10814011925356604,-0.17577616713535854
Atmospheric_Only,2,RandomForest,0.4053719703769701,0.5146370616335344,-0.04134649269442492,-0.1558072073622072
Atmospheric_Only,2,LightGBM,0.43411078443457735,0.5445037212469956,-0.16572160464186791,-0.10238439342733083
No_Rainfall_Anomaly,7,Ridge,0.37957414871797507,0.48220917272557606,0.08575188006016032,-0.10581318291715801
No_Rainfall_Anomaly,7,RandomForest,0.3663466539916542,0.46553744193739827,0.14787683285030784,-0.047811310731311486
No_Rainfall_Anomaly,7,LightGBM,0.3699254825820129,0.4807530548615553,0.09126501881847815,-0.04684666617220415
No_RH,7,Ridge,0.3988271807211088,0.48892394549975415,0.060112753450489054,-0.11178375767355786
No_RH,7,RandomForest,0.3684792565492566,0.4650100741996141,0.14980633493996354,-0.053625744585744775
No_RH,7,LightGBM,0.38149722603432906,0.4866646204548759,0.0687791500425442,-0.07557062849930878
No_GDD,7,Ridge,0.3742662857807724,0.48696049637735256,0.06764650315718679,-0.12701832029578794
No_GDD,7,RandomForest,0.38890154644154623,0.49023407424548365,0.05506892970245181,-0.05919218631218623
No_GDD,7,LightGBM,0.4178399768641108,0.515390655390309,-0.04439845625701522,-0.03761586673854876
No_Temperature_Pair,6,Ridge,0.3954792698410943,0.49895951580882164,0.021132836112098263,-0.11790736630097381
No_Temperature_Pair,6,RandomForest,0.37881716056466075,0.4814673433725706,0.08856267025946063,-0.12255709667959674
No_Temperature_Pair,6,LightGBM,0.39844266147708585,0.48966767255527555,0.05725115815358006,-0.08370425116350205
