State,Year,Model,Observed_Yield,Predicted_Yield,Lower_90,Upper_90,Interval_Width,Covered,Calibration_qhat
Abia,2024,Ridge,1.42,2.072725836178108,1.2928641673091321,2.8525875050470835,1.5597233377379514,True,0.7798616688689757
Adamawa,2024,Ridge,2.38,2.12590654245408,1.3460448735851043,2.9057682113230556,1.5597233377379514,True,0.7798616688689757
Akwa Ibom,2024,Ridge,1.27,1.8326152326432583,1.0527535637742826,2.6124769015122338,1.5597233377379511,True,0.7798616688689757
Anambra,2024,Ridge,2.23,1.9555822468813855,1.1757205780124098,2.735443915750361,1.5597233377379511,True,0.7798616688689757
Bauchi,2024,Ridge,1.6,2.120246411943841,1.3403847430748654,2.900108080812817,1.5597233377379514,True,0.7798616688689757
Bayelsa,2024,Ridge,1.67,2.0872296597653603,1.3073679908963847,2.867091328634336,1.5597233377379514,True,0.7798616688689757
Benue,2024,Ridge,2.59,2.0950587097531566,1.3151970408841809,2.8749203786221322,1.5597233377379514,True,0.7798616688689757
Borno,2024,Ridge,1.63,1.9623701613440567,1.182508492475081,2.7422318302130324,1.5597233377379514,True,0.7798616688689757
Cross River,2024,Ridge,1.69,1.9874676245147556,1.2076059556457799,2.7673292933837312,1.5597233377379514,True,0.7798616688689757
Delta,2024,Ridge,2.09,1.9895978569576511,1.2097361880886754,2.769459525826627,1.5597233377379516,True,0.7798616688689757
Ebonyi,2024,Ridge,1.83,1.9157520676993292,1.1358903988303535,2.695613736568305,1.5597233377379514,True,0.7798616688689757
Edo,2024,Ridge,2.37,2.04595881781721,1.2660971489482344,2.825820486686186,1.5597233377379514,True,0.7798616688689757
Ekiti,2024,Ridge,2.06,2.03305171322991,1.2531900443609345,2.812913382098886,1.5597233377379514,True,0.7798616688689757
Enugu,2024,Ridge,2.18,1.979934521831736,1.2000728529627602,2.759796190700712,1.5597233377379516,True,0.7798616688689757
FCT,2024,Ridge,2.6,2.173850034960552,1.3939883660915764,2.9537117038295277,1.5597233377379514,True,0.7798616688689757
Gombe,2024,Ridge,1.85,2.1477246535940977,1.367862984725122,2.9275863224630734,1.5597233377379514,True,0.7798616688689757
Imo,2024,Ridge,2.48,2.051582236844985,1.2717205679760095,2.831443905713961,1.5597233377379514,True,0.7798616688689757
Jigawa,2024,Ridge,2.03,2.068115863870282,1.2882541950013064,2.847977532739258,1.5597233377379514,True,0.7798616688689757
Kaduna,2024,Ridge,3.15,2.33139321436023,1.5515315454912542,3.1112548832292055,1.5597233377379514,False,0.7798616688689757
Kano,2024,Ridge,3.08,2.1126080600055688,1.332746391136593,2.8924697288745445,1.5597233377379514,False,0.7798616688689757
Katsina,2024,Ridge,2.44,2.1366593389409285,1.3567976700719528,2.916521007809904,1.5597233377379514,True,0.7798616688689757
Kebbi,2024,Ridge,2.15,2.520271488398033,1.7404098195290572,3.3001331572670085,1.5597233377379514,True,0.7798616688689757
Kogi,2024,Ridge,2.79,2.14103867269667,1.3611770038276942,2.9209003415656456,1.5597233377379514,True,0.7798616688689757
Kwara,2024,Ridge,2.18,2.2981926825166488,1.518331013647673,3.0780543513856244,1.5597233377379514,True,0.7798616688689757
Lagos,2024,Ridge,1.71,1.6159019081303665,0.8360402392613908,2.395763576999342,1.5597233377379514,True,0.7798616688689757
Nasarawa,2024,Ridge,2.89,2.1249830489141552,1.3451213800451796,2.904844717783131,1.5597233377379514,True,0.7798616688689757
Niger,2024,Ridge,3.59,1.9920065476264086,1.212144878757433,2.7718682164953843,1.5597233377379514,False,0.7798616688689757
Ogun,2024,Ridge,2.37,1.9832251643536034,1.2033634954846277,2.7630868332225793,1.5597233377379516,True,0.7798616688689757
Ondo,2024,Ridge,2.78,2.03305171322991,1.2531900443609345,2.812913382098886,1.5597233377379514,True,0.7798616688689757
Osun,2024,Ridge,2.46,2.1303464652345707,1.350484796365595,2.9102081341035464,1.5597233377379514,True,0.7798616688689757
Oyo,2024,Ridge,2.13,2.119736935724324,1.3398752668553482,2.8995986045932995,1.5597233377379514,True,0.7798616688689757
Plateau,2024,Ridge,2.34,2.24417228584264,1.4643106169736644,3.0240339547116157,1.5597233377379514,True,0.7798616688689757
Rivers,2024,Ridge,2.37,2.2153886410216064,1.4355269721526307,2.995250309890582,1.5597233377379514,True,0.7798616688689757
Sokoto,2024,Ridge,2.4,2.138480074583468,1.358618405714492,2.9183417434524435,1.5597233377379514,True,0.7798616688689757
Taraba,2024,Ridge,2.24,2.32847741737822,1.5486157485092442,3.1083390862471956,1.5597233377379514,True,0.7798616688689757
Yobe,2024,Ridge,1.62,2.095294995767817,1.3154333268988414,2.8751566646367928,1.5597233377379514,True,0.7798616688689757
Zamfara,2024,Ridge,1.6,2.110541231818278,1.3306795629493022,2.8904029006872536,1.5597233377379514,True,0.7798616688689757
Abia,2024,RandomForest,1.42,1.7998245913345916,1.0737630768305753,2.525886105838608,1.4521230290080327,True,0.7260615145040163
Adamawa,2024,RandomForest,2.38,2.21617384014134,1.4901123256373237,2.9422353546453563,1.4521230290080327,True,0.7260615145040163
Akwa Ibom,2024,RandomForest,1.27,1.7352634096459099,1.0092018951418935,2.461324924149926,1.4521230290080327,True,0.7260615145040163
Anambra,2024,RandomForest,2.23,1.7302116924741926,1.0041501779701762,2.456273206978209,1.452123029008033,True,0.7260615145040163
Bauchi,2024,RandomForest,1.6,2.2796691798941797,1.5536076653901634,3.005730694398196,1.4521230290080327,True,0.7260615145040163
Bayelsa,2024,RandomForest,1.67,1.818670792910793,1.0926092784067767,2.5447323074148094,1.4521230290080327,True,0.7260615145040163
Benue,2024,RandomForest,2.59,2.1502905638805645,1.4242290493765482,2.876352078384581,1.4521230290080327,True,0.7260615145040163
Borno,2024,RandomForest,1.63,2.0643099192474184,1.338248404743402,2.7903714337514347,1.4521230290080327,True,0.7260615145040163
Cross River,2024,RandomForest,1.69,1.8085467092167096,1.0824851947126932,2.534608223720726,1.4521230290080327,True,0.7260615145040163
Delta,2024,RandomForest,2.09,1.7637326184001192,1.0376711038961028,2.4897941329041355,1.4521230290080327,True,0.7260615145040163
Ebonyi,2024,RandomForest,1.83,1.7219577903577905,0.9958962758537742,2.448019304861807,1.4521230290080327,True,0.7260615145040163
Edo,2024,RandomForest,2.37,1.8311707866207856,1.1051092721167692,2.557232301124802,1.4521230290080327,True,0.7260615145040163
Ekiti,2024,RandomForest,2.06,2.165173927368929,1.4391124128649126,2.8912354418729453,1.4521230290080327,True,0.7260615145040163
Enugu,2024,RandomForest,2.18,1.9705389503089499,1.2444774358049335,2.696600464812966,1.4521230290080325,True,0.7260615145040163
FCT,2024,RandomForest,2.6,2.444814262404263,1.7187527479002465,3.170875776908279,1.4521230290080327,True,0.7260615145040163
Gombe,2024,RandomForest,1.85,2.5466878787878775,1.8206263642838612,3.272749393291894,1.4521230290080327,True,0.7260615145040163
Imo,2024,RandomForest,2.48,1.746641108058608,1.0205795935545916,2.4727026225626245,1.452123029008033,False,0.7260615145040163
Jigawa,2024,RandomForest,2.03,1.9579156756206753,1.231854161116659,2.6839771901246916,1.4521230290080327,True,0.7260615145040163
Kaduna,2024,RandomForest,3.15,2.0989409964109966,1.3728794819069803,2.825002510915013,1.4521230290080327,False,0.7260615145040163
Kano,2024,RandomForest,3.08,2.118563770488769,1.3925022559847529,2.8446252849927856,1.4521230290080327,False,0.7260615145040163
Katsina,2024,RandomForest,2.44,2.13082816868317,1.4047666541791535,2.856889683187186,1.4521230290080327,True,0.7260615145040163
Kebbi,2024,RandomForest,2.15,2.05106611148111,1.3250045969770938,2.7771276259851265,1.4521230290080327,True,0.7260615145040163
Kogi,2024,RandomForest,2.79,2.1424223892773897,1.4163608747733734,2.868483903781406,1.4521230290080327,True,0.7260615145040163
Kwara,2024,RandomForest,2.18,2.3209328783253786,1.5948713638213623,3.046994392829395,1.4521230290080327,True,0.7260615145040163
Lagos,2024,RandomForest,1.71,1.608874821844823,0.8828133073408067,2.3349363363488393,1.4521230290080327,True,0.7260615145040163
Nasarawa,2024,RandomForest,2.89,2.3086278719428734,1.582566357438857,3.03468938644689,1.4521230290080327,True,0.7260615145040163
Niger,2024,RandomForest,3.59,2.14870820938321,1.4226466948791936,2.8747697238872263,1.4521230290080327,False,0.7260615145040163
Ogun,2024,RandomForest,2.37,1.774713365153364,1.0486518506493476,2.5007748796573805,1.452123029008033,True,0.7260615145040163
Ondo,2024,RandomForest,2.78,2.165173927368929,1.4391124128649126,2.8912354418729453,1.4521230290080327,True,0.7260615145040163
Osun,2024,RandomForest,2.46,1.8854939550264551,1.1594324405224388,2.6115554695304715,1.4521230290080327,True,0.7260615145040163
Oyo,2024,RandomForest,2.13,1.9142495731120737,1.1881880586080573,2.64031108761609,1.4521230290080327,True,0.7260615145040163
Plateau,2024,RandomForest,2.34,2.1946556765456764,1.46859416204166,2.9207171910496927,1.4521230290080327,True,0.7260615145040163
Rivers,2024,RandomForest,2.37,1.809758015133015,1.0836965006289987,2.535819529637031,1.4521230290080325,True,0.7260615145040163
Sokoto,2024,RandomForest,2.4,2.0818025929625907,1.3557410784585744,2.807864107466607,1.4521230290080327,True,0.7260615145040163
Taraba,2024,RandomForest,2.24,2.231771112591113,1.5057095980870967,2.9578326270951294,1.4521230290080327,True,0.7260615145040163
Yobe,2024,RandomForest,1.62,1.9592676044326054,1.233206089928589,2.6853291189366217,1.4521230290080327,True,0.7260615145040163
Zamfara,2024,RandomForest,1.6,2.2024010610685614,1.476339546564545,2.9284625755725777,1.4521230290080327,True,0.7260615145040163
Abia,2024,LightGBM,1.42,1.6103448774234843,0.8721132619202598,2.348576492926709,1.476463231006449,True,0.7382316155032245
Adamawa,2024,LightGBM,2.38,2.555809149380291,1.8175775338770663,3.2940407648835155,1.4764632310064492,True,0.7382316155032245
Akwa Ibom,2024,LightGBM,1.27,1.4651202547016196,0.7268886391983951,2.203351870204844,1.4764632310064487,True,0.7382316155032245
Anambra,2024,LightGBM,2.23,1.553401462399731,0.8151698468965065,2.2916330779029552,1.4764632310064487,True,0.7382316155032245
Bauchi,2024,LightGBM,1.6,1.8412541148775587,1.1030224993743343,2.5794857303807834,1.4764632310064492,True,0.7382316155032245
Bayelsa,2024,LightGBM,1.67,1.5285383221579423,0.7903067066547178,2.2667699376611665,1.4764632310064487,True,0.7382316155032245
Benue,2024,LightGBM,2.59,2.2830155385889555,1.544783923085731,3.0212471540921797,1.4764632310064487,True,0.7382316155032245
Borno,2024,LightGBM,1.63,2.181382670733192,1.4431510552299673,2.919614286236416,1.4764632310064487,True,0.7382316155032245
Cross River,2024,LightGBM,1.69,1.5332535299431287,0.7950219144399042,2.271485145446353,1.4764632310064487,True,0.7382316155032245
